CODGEO;P17_POP;P17_LOG;P17_RP;P17_LOGVAC;P17_RP_PROP;MED17;TP6017;P17_CHOM1564;P17_ACT1564;INSEE_COM;REG;DEP
16233;451.0;223.0;184.0;28.0;163.0;20600.0;;15.0;220.0;16233;75;16
16234;725.0;337.380530975929;294.000000002478;25.221238938053002;252.55057373415298;21790.0;;30.211176010183898;379.08314129198504;16234;75;16
16236;2436.0;1125.50359712199;1047.99999999969;57.1079136690647;865.681002469865;21610.0;;124.476576304905;1170.35419040094;16236;75;16
16238;115.0;63.0;52.0;2.0;42.0;20880.0;;8.0;42.0;16238;75;16
16239;131.0;111.581053067993;62.567164179104395;30.9000603864735;55.7238805970149;17990.0;;7.82089552238806;52.79104477611939;16239;75;16
16241;204.0;128.0;98.0;9.0;87.0;21260.0;;7.0;112.0;16241;75;16
16242;1359.0;1010.3764478764;619.999999999951;141.1361003861;509.747414303188;17740.0;;87.5102236799398;533.828772069011;16242;75;16
16243;1081.0;545.511761090151;487.32760267431;39.107385164746;432.60649474689797;21870.0;;51.623686723973506;501.782234957022;16243;75;16
16244;2416.0;1218.0162733929901;1097.99999999999;104.759967453214;683.222090760955;19790.0;14.0;190.64212238060298;1164.44890650624;16244;75;16
16245;932.0;516.1931166348011;415.000000000002;63.1204588910133;357.85333532187303;18640.0;;59.90880009426579;403.344769853759;16245;75;16
16246;281.0;188.76645101131697;131.615288220619;26.670542635658897;109.85213032587099;18840.0;;9.32706766917774;118.294486215454;16246;75;16
16248;164.0;120.056353504434;84.6451612903224;16.2700072335109;74.0645161290321;19610.0;;4.23225806451612;51.8451612903225;16248;75;16
16249;396.0;247.622009569378;169.0;23.8851674641148;142.145391363403;15230.0;;20.0485838405185;136.67825035293302;16249;75;16
16250;229.0;134.379929931665;103.907488986784;14.2204724409448;89.78414096916259;18000.0;;13.114537444933902;84.7400881057265;16250;75;16
16251;255.0;135.0;108.0;13.0;80.0;19730.0;;20.0;131.0;16251;75;16
16253;368.0;254.351749539595;164.685082872928;28.2644927536232;137.237569060774;17130.0;;29.480662983425397;144.35359116022101;16253;75;16
16258;462.0;257.999999999985;205.99999999998502;37.0;172.39682833064;19420.0;;15.753360941998;203.728017193238;16258;75;16
16260;266.0;213.0;124.0;23.0;101.0;17670.0;;5.0;106.0;16260;75;16
16263;401.0;186.0;162.0;15.0;135.0;20670.0;;13.0;198.0;16263;75;16
16264;342.0;257.713074418956;172.588235294117;43.4680029573647;153.529411764705;16640.0;;10.5882352941176;121.764705882352;16264;75;16
16268;204.0;155.0;96.0;26.0;88.0;17160.0;;11.0;67.0;16268;75;16
16269;903.0;431.958481659521;396.20111731843497;26.2921796625627;342.905027932961;21320.0;;27.1508379888268;423.34636871508303;16269;75;16
16270;349.0;315.0;185.0;60.0;155.0;18020.0;;13.0;112.0;16270;75;16
16271;2377.0;1111.11785162595;1060.8930314820698;34.1528776978418;923.7801854593381;25840.0;;101.078701599366;1010.6578732712;16271;75;16
16273;141.0;105.20746714456399;71.63709677419371;26.1102880658436;56.854838709677495;17170.0;;5.685483870967751;62.540322580645295;16273;75;16
16275;176.0;116.0;81.0;16.0;70.0;17360.0;;12.0;74.0;16275;75;16
16276;747.0;357.689655124336;316.999999951923;31.534482758620502;243.890950651343;20590.0;;32.656148375233805;367.982194200255;16276;75;16
16277;601.0;288.0;245.0;33.0;217.0;21790.0;;23.0;317.0;16277;75;16
16280;1999.0;846.0275554971471;771.4164443860361;60.5666666666667;647.670468831225;20590.0;;69.856599103522;761.516240578361;16280;75;16
16281;3981.0;2432.32687122932;1969.4292384717999;394.033344623838;1142.9518020991302;19420.0;14.0;251.568626652253;1587.2705430758401;16281;75;16
16282;533.0;278.180473077854;239.55056179775298;24.013188093036103;197.62921348314603;20050.0;;34.9344569288389;279.47565543071204;16282;75;16
16283;571.0;333.388032471336;254.89279437609798;27.1714285714284;181.16593005067;19170.0;;37.597479573421204;243.039019050136;16283;75;16
16284;122.0;71.97888888888909;55.91666666666679;6.61385620915033;42.7000000000001;19750.0;;7.11666666666669;54.9000000000002;16284;75;16
16285;407.0;261.48301886792;196.999999999995;32.2415094339622;161.65407705055298;18740.0;;21.9141673238647;181.446541163809;16285;75;16
16286;2976.0;1512.77758153826;1293.12417817468;155.460385166322;917.204713065285;19420.0;15.0;154.351934829181;1271.6457448045599;16286;75;16
16287;4262.0;1949.0;1794.0;135.0;1465.0;21490.0;8.0;201.0;2104.0;16287;75;16
16289;283.0;275.0;141.0;49.0;119.0;16380.0;;15.0;95.0;16289;75;16
16290;241.0;211.44227461514802;118.508264462864;5.0507614213198;99.2591340815825;18790.0;;10.1209257198867;98.21465410402809;16290;75;16
16291;7201.0;3828.6838826888397;3443.00000000003;356.480664417338;2284.3632519255602;20910.0;11.0;437.891425826319;3190.7712897305796;16291;75;16
