CODGEO;P17_POP;P12_POP;SUPERF;NAIS1217;DECE1217;P17_MEN;NAISD19;DECESD19;P17_LOG;P17_RP;P17_RSECOCC;P17_LOGVAC;P17_RP_PROP;NBMENFISC17;PIMP17;MED17;TP6017;P17_EMPLT;P17_EMPLT_SAL;P12_EMPLT;P17_POP1564;P17_CHOM1564;P17_ACT1564;ETTOT15;ETAZ15;ETBE15;ETFZ15;ETGU15;ETGZ15;ETOQ15;ETTEF115;ETTEFP1015;INSEE_COM;REG;DEP
29161;2987.0;2679.0;13.69;121.0;159.0;1296.7212544352099;28.0;38.0;1510.81912265226;1296.7212544352099;85.63914728682191;128.458720930233;1035.50448188111;1343.0;56.0;22120.0;7.0;770.530943298909;642.394608535396;828.814835837369;1785.1224905094398;130.14025586028401;1347.16199863822;237.0;10.0;16.0;30.0;150.0;43.0;31.0;58.0;16.0;29161;53;29
29162;3627.0;3684.0;76.04;176.0;287.0;1602.0;23.0;62.0;1981.0;1602.0;104.0;275.0;1164.0;1572.0;39.0;19570.0;12.0;1400.27144689549;1131.47350012536;1302.47705588881;2214.0;182.0;1667.0;397.0;96.0;23.0;37.0;183.0;54.0;58.0;101.0;29.0;29162;53;29
29163;3139.0;3083.0;45.47;190.0;172.0;1390.3136030398998;24.0;41.0;1574.88362276376;1390.3136030398998;103.234078828603;81.3359408952628;1057.9755564858099;1365.0;44.0;20080.0;10.0;734.6107285182429;571.553794848388;799.08949935858;1821.26687582363;159.319997755467;1358.90021860098;248.0;40.0;20.0;24.0;134.0;35.0;30.0;67.0;16.0;29163;53;29
29165;3474.0;3400.0;18.17;125.0;221.0;1676.9999999997199;17.0;46.0;2737.54134466742;1676.9999999997199;815.169242658421;245.372102009273;1413.1403524376901;1697.0;54.0;22240.0;8.0;544.630097147999;380.05381190265297;518.4540092534401;1960.4609757066;180.530431307095;1381.17117177557;313.0;45.0;20.0;31.0;188.0;29.0;29.0;55.0;13.0;29165;53;29
29167;1953.0;1857.0;31.39;98.0;102.0;830.120911856358;16.0;16.0;1102.81825336965;830.120911856358;178.663775474226;94.0335660390663;673.177719246179;819.0;;21020.0;;341.816134794039;237.62646212036;325.967201595342;1182.52832764505;82.9261500222585;951.5553271998809;158.0;29.0;9.0;25.0;71.0;21.0;24.0;39.0;5.0;29167;53;29
29168;1229.0;1264.0;11.73;16.0;110.0;663.0;4.0;19.0;1143.0;663.0;403.0;77.0;618.0;635.0;;19010.0;;182.76567616368;125.634669458022;199.74530852030102;598.0;44.0;346.0;118.0;9.0;10.0;13.0;67.0;19.0;19.0;20.0;3.0;29168;53;29
29169;3156.0;3070.0;54.14;144.0;168.0;1309.0;34.0;41.0;1498.0;1309.0;60.0;129.0;1067.0;1285.0;49.0;21120.0;8.0;691.7111752318559;496.614589259588;589.940058216674;1874.0;128.0;1413.0;241.0;68.0;11.0;25.0;105.0;23.0;32.0;53.0;9.0;29169;53;29
29170;4171.0;4155.0;26.08;183.0;200.0;1779.9999999989102;32.0;46.0;2016.30496453792;1779.9999999989102;87.2198581560283;149.085106382979;1420.82953753284;1793.0;58.0;22700.0;7.0;1055.30354561014;882.491663947228;1080.6862536104902;2519.5395540731;184.928969731097;1813.56322403538;335.0;29.0;22.0;48.0;190.0;39.0;46.0;68.0;22.0;29170;53;29
29171;3774.0;3833.0;29.69;187.0;148.0;1687.99999999971;20.0;32.0;2144.55892255864;1687.99999999971;307.08417508417597;149.474747474748;1447.5939808971802;1706.0;50.0;21150.0;8.0;775.279616698252;581.2710682965401;709.064731994052;2288.3755629140196;160.988629663084;1645.66148390789;372.0;49.0;22.0;61.0;201.0;38.0;39.0;82.0;19.0;29171;53;29
29172;2136.0;2194.0;46.74;86.0;204.0;1029.90399146807;16.0;35.0;1511.2980319395;1029.90399146807;402.06725727861703;79.3267831928081;819.9327902554879;1032.0;47.0;21440.0;10.0;426.194554595738;297.59748613311297;519.313866434778;1209.4721228218302;116.86179976990101;916.842575430528;236.0;54.0;14.0;19.0;114.0;22.0;35.0;51.0;7.0;29172;53;29
