INSEE_COM;Part des cadres et prof. intellectuelles sup. dans le nb d’emplois au LT 2018;Part des prof. intermédiaires dans le nb d’emplois au LT 2018;Part des employés dans le nb d’emplois au LT 2018;Part des ouvriers dans le nb d’emplois au LT 2018;Part des artisans, commerçants, chefs d’ent. dans le nb d’emplois au LT 2018;Part des agriculteurs expl. dans le nb d’emplois au LT 2018;Artisans, commerçants, chefs d'entreprise;Cadres et professions intellectuelles supérieures;Professions intermédaires;Employés;Ouvriers;Nb d'emplois au lieu de travail (LT) 2018;Part des emplois sal. dans le nb d’emplois au LT 2018;Part des emplois non sal. dans le nb d’emplois au LT 2018
67515;0;29.6;21.6;16.3;32.5;0;15;0;14;10;8;40;67.6;32.4
67516;8.1;24.9;8.3;16.8;16.7;25.2;10;5;15;5;10;48;60.5;39.5
67517;4.4;23.6;39.4;19.2;4.4;8.9;5;5;27;45;22;120;77.2;22.8
67519;16.2;25.8;23.6;25.8;8.1;0.5;157;313;501;457;502;2040;86.4;13.6
67520;11.4;18;28;35.2;7.3;0.2;155;243;384;597;750;2247;87.4;12.6
67521;16;52;0;0;32;0;10;5;16;0;0;36;66.8;33.2
67522;0;11.6;7.7;65.4;3.9;11.4;5;0;15;10;85;101;83.3;16.7
67523;10.3;22.6;23.3;22.8;21;0;49;24;53;55;53;233;68.5;31.5
67524;0;0;66.6;0;33.4;0;10;0;0;20;0;29;72.7;27.3
67525;11.5;29.8;19.8;26.1;6;6.9;13;25;65;43;57;211;66.3;33.7
67526;0;22.9;31.1;19.4;26.6;0;34;0;29;40;25;119;69;31
67527;0;67.7;32.3;0;0;0;0;0;10;5;0;20;81.8;18.2
67528;6.9;26.7;12.5;26.7;20.4;6.8;15;5;20;9;20;82;83.2;16.8
67529;9.2;25.4;16.5;40;8.4;0.5;88;96;267;174;420;1146;88.5;11.5
67530;5.4;30.2;34.7;18.3;0;11.3;0;4;25;28;15;69;75.5;24.5
67531;40.3;0;9.7;20.2;29.8;0;15;20;0;5;10;36;72.3;27.7
67532;6.7;23.1;26.1;29.2;8.4;6.6;19;15;53;59;66;220;71.2;28.8
67534;0;23.1;31.7;26;19.3;0;15;0;18;24;20;85;68.2;31.8
67535;9;14.4;22.6;26.9;27.1;0;30;10;16;25;30;126;75.4;24.6
67536;20;20;0;0;40;20;10;5;5;0;0;22;63.6;36.4
67537;0;50;37.5;0;0;12.5;0;0;20;15;0;37;72.9;27.1
67538;12.7;18.6;23.1;39.7;5.9;0;35;76;111;138;237;644;90.1;9.9
67539;12.2;24.1;16.3;33.1;9.9;4.4;56;68;135;91;186;514;77.8;22.2
67540;9.8;14.7;32.1;18.8;19.6;4.9;20;10;15;33;19;81;77.8;22.2
67541;0;25.2;25;41.4;0;8.3;0;0;15;15;25;47;70.1;29.9
67542;27;0;17.4;28.7;27;0;5;5;0;3;5;29;67.4;32.6
67543;7.8;17;13.4;56.6;5.2;0;42;63;136;107;454;789;89.6;10.4
67544;11.3;25.2;31.2;28.6;3.7;0;193;595;1333;1650;1511;5064;92.1;7.9
67545;11.5;29.6;5.9;23.3;5.9;23.7;5;10;25;5;20;62;56.3;43.7
67546;2.6;27.1;13.7;39.4;8.6;8.5;10;3;32;16;47;134;77.3;22.7
67547;9.9;13.9;32.4;24;16;3.8;64;40;55;130;96;300;81;19
67548;12.3;36;24;19.8;7.9;0;30;46;135;90;74;399;80.5;19.5
