idannonce,url_annonce,idagence,idtiers,idPublication,type_annonceur,categorie_annonceur,typedebien,naturebien,typedetransaction,codepostal,codeinsee,ville,idQuartier,nomQuartier,adresse,etage,nb_etages,surface,surface_terrain,nb_chambres,nb_pieces,idtypechauffage,chauffage_energie,chauffage_systeme,chauffage_mode,idtypecommerce,idtypecuisine,prix_bien,prix_maison,prix_terrain,mensualiteFinance,si_balcon,si_sdbain,si_sdEau,balcon,surface_balcon,eau,bain,dpeL,dpeC,mapBoundingboxNortheastLatitude,mapBoundingboxNortheastLongitude,mapBoundingboxSouthwestLatitude,mapBoundingboxSouthwestLongitude,mapCoordonneesLatitude,mapCoordonneesLongitude,mapPoly,logoAgence,nomAgence,urlAgence,telNumber,nom_promoteur,nom_programme,nb_photos,date_first_observation,ges_valeur,ges_class,annee_construction,parking,places_parking,cave,exposition,nb_toilettes,nb_terraces,porte_digicode,ascenseur,logement_neuf,nb_logements_copro,charges_copro,visite_virtuelle,piscine,prix_m_carre,annonce_exclusive,nom_du_reseau
immo-facile-adresse-10651094,,,,3405,Pro,Agence,Maison/Villa,,Vente,85200,85092,Fontenay-le-Comte,,Le Porteau - Rabelais,,,1.0,135,567,3,5,radiateur fuel individuel ,Fioul,Radiateur,Individuel,,,86800,,,,,,,,,,1,F,364,,,,,46.476554538719185,-0.8161352450998984,,,,,,,,10,2020-01-22 20:19:29.192350,109,G,1900,,,,,,,,,Non,,,NA,,592.5925925925926,Oui,L'ADRESSE
orpi-1-117025E18XBW,,,,117025E18XBW,Pro,Agence,Maison/Villa,,Vente,85300,85047,Challans,,Centre-ville,,,,140,179,4,5,individuel,,,Individuel,,,294100,,,,,,,,,,2,C,134,,,,,46.84427043767011,-1.8802917566613329,,,,,,,,6,2020-01-22 20:19:29.192350,1,A,,,1.0,,,,,,,Non,,,NA,,1985.7142857142858,Non,Orpi
orpi-1-117009E1D6OY,,,,117009E1D6OY,Pro,Agence,Maison/Villa,,Vente,85580,85255,Saint-Michel-en-l'Herm,,Saint-Michel-en-l'Herm,,,,136,866,4,5,individuel,,,Individuel,,,312900,,,,,,,,,,2,D,182,,,,,46.362834324027,-1.2410063029303733,,,,,,,,8,2020-01-22 20:19:29.192350,10,B,,,3.0,,,,,,,Non,,,NA,,2205.8823529411766,Non,Orpi
immo-facile-adresse-10669639,,,,6587,Pro,Agence,Maison/Villa,,Vente,85160,85234,Saint-Jean-de-Monts,,Le Devallon - Plage des Demoiselles - Golf,,,1.0,133.75,221,3,4,radiateur Ã©lectrique individuel ,Ã‰lectrique,Radiateur,Individuel,,,358800,,,,,,,,,2.0,,D,179,,,,,46.78840670516611,-2.082357619423456,,,,,,,,14,2020-01-22 20:19:29.192350,9,B,,,,,Sud-Ouest,2,,,,Non,,,NA,,2542.0560747663553,Non,L'ADRESSE
guy-hoquet-immo-facile-2156385,,,,4236,Pro,Agence,Maison/Villa,,Vente,85430,85069,Aubigny-les-Clouzeaux,,Les Clouzeaux,,,,140,36500,4,5,Ã©lectrique individuel ,Ã‰lectrique,,Individuel,,,445000,,,,,,,,,1,,D,210,,,,,46.65540752671132,-1.4971917279247544,,,,,,,,11,2020-01-22 20:19:29.192350,8,B,1990,,,,,1,,FALSE,,Non,,,NA,Non,3178.5714285714284,Non,Guy Hoquet
immo-facile-adresse-10634662,,,,1282,Pro,Agence,Maison/Villa,,Vente,85230,85018,Beauvoir-sur-Mer,,Beauvoir-sur-Mer,,,,135,635,3,5,radiateur fuel individuel ,Fioul,Radiateur,Individuel,,,170000,,,,,,,,,2,,F,366,,,,,46.91664170489037,-2.053487193536008,,,,,,,,4,2020-01-22 20:19:29.192350,75,F,1972,,,,,2,,,,Non,,,NA,,1259.2592592592594,Oui,L'ADRESSE
orpi-1-117905E13A60,,,,117905E13A60,Pro,Agence,Maison/Villa,,Vente,85160,85234,Saint-Jean-de-Monts,,Route des Sables - Beaulieu - ForÃªt Domaniale Pays de Monts,,,,138,2262,3,6,individuel,,,Individuel,,,305500,,,,,,,,,,2.0,B,88,,,,,46.77971256467709,-2.0237862027736715,,,,,,,,13,2020-01-22 20:19:29.192350,26.8,D,,,7.0,,,,,,,Non,,,NA,,2101.449275362319,Non,Orpi
hektor-PULLMANN-169,,,,610,Pro,Agence,Maison/Villa,,Vente,85340,85166,Olonne-sur-Mer,,BrÃ©choire - La GarnaudiÃ¨re - La BauduÃ¨re - La PenouilliÃ¨re,,,,137,800,3,5,,,,,,,447200,,,,,,,,,1,1.0,B,89,,,,,46.5609647154453,-1.8059034122968984,,,,,,,,14,2020-01-22 20:19:29.192350,4,A,2014,,1.0,FALSE,Sud-Est-Ouest,2,,,,Non,,,NA,Non,3138.6861313868612,Non,Pullmann Immobilier
immo-facile-adresse-10227561,,,,n3307,Pro,Agence,Maison/Villa,,Vente,85200,85256,Saint-Michel-le-Cloucq,,Saint-Michel-le-Cloucq,,,1.0,140,910,2,4,radiateur fuel individuel ,Fioul,Radiateur,Individuel,,,118600,,,,,,,,,2,,VI,,,,,,46.481408367583384,-0.7544415248424793,,,,,,,,7,2020-01-22 20:19:29.192350,,G,1900,,,FALSE,,2,,FALSE,,Non,,,Oui,Non,785.7142857142857,Oui,L'ADRESSE
immo-facile-adresse-10043171,,,,n1844,Pro,Agence,Maison/Villa,,Vente,85200,85148,Montreuil,,Montreuil,,,,131,385,1,2,,,,,,,38000,,,,,,,,,,,VI,,,,,,46.39374646072625,-0.8315399611006169,,,,,,,,4,2020-01-22 20:19:29.192350,,VI,,,,,,,,,,Non,,,NA,,259.5419847328244,Oui,L'ADRESSE
