Ville,Type_logement,Titre_annonce,ID_publication,ID_annonce,Code_postal,Code_INSEE,Surface,Prix,NB_pieces,nb_chambres,date_observation,heure-min,code_depart,annonce_exclusive,quartier,site_source,type_annonceur,categorie_annonceur,type_transaction,logement_neuf,prix_m_carre,statut_annonce
Saint-Michel-le-Cloucq,Maison/Villa,Maison Saint Michel Le Cloucq 4 pièce(s) 140 m2,n3307,immo-facile-adresse-10227561,85200,85256,140,118600,4,2,2020-01-22,20:19:29.192350,85,Oui,Saint-Michel-le-Cloucq,bienici,Pro,Agence,Vente,Non,785.7142857142857,Active
Montreuil,Maison/Villa,Maison Montreuil 2 pièce(s),n1844,immo-facile-adresse-10043171,85200,85148,131,38000,2,1,2020-01-22,20:19:29.192350,85,Oui,Montreuil,bienici,Pro,Agence,Vente,Non,259.5419847328244,Active
La Garnache,Maison/Villa,Maison Contemporaine 5 pieces,7546,immo-facile-35398476,85710,85096,137.77,351750,5,4,2020-01-22,20:19:29.192350,85,Non,La Garnache,bienici,Pro,Agence,Vente,Non,2553.168324018291,Active
Jard-sur-Mer,Maison/Villa,Maison  6 pièce(s) 138 m2 - C 185,117009E1I5CW,orpi-1-117009E1I5CW,85520,85114,138,399900,6,3,2020-01-22,20:19:29.192350,85,Non,Jard-sur-Mer,bienici,Pro,Agence,Vente,Non,2753.623188405797,Active
Saint-Cyr-en-Talmondais,Maison/Villa,Maison de village,8500261325,adapt-immo-8500261325,85540,85206,137,259800,6,4,2020-01-22,20:19:29.192350,85,Non,Saint-Cyr-en-Talmondais,bienici,Pro,Agence,Vente,Non,1896.3503649635036,Active
Saint-Fulgent,Maison/Villa,Maison 4 chambres - A 2 mn des commerces de ST FULGENT,221942BTY,ag440414-229097437,85250,85215,131,173800,6,4,2020-01-22,20:19:29.192350,85,Oui,Saint-Fulgent,bienici,Pro,Mandataire,Vente,Non,1326.7175572519084,Active
Pouzauges,Maison/Villa,Pouzauges Maison 3 chambres 135 m2,220844JLR,ag440414-226884727,85700,85182,135,129990,6,3,2020-01-22,20:19:29.192350,85,Non,Pouzauges,bienici,Pro,Mandataire,Vente,Non,914.8148148148148,Active
Grues,Maison/Villa,Maison Grues 6 pièce(s) 134 m2,37,immo-facile-34637537,85580,85104,132,259500,6,5,2020-01-22,20:19:29.192350,85,Non,Grues,bienici,Pro,Agence,Vente,Non,1893.939393939394,Active
Jard-sur-Mer,Maison/Villa,Maison 4 pièces Jard Sur Mer,117009E1GOI3,orpi-1-117009E1GOI3,85520,85114,134.38,296125,4,3,2020-01-22,20:19:29.192350,85,Non,Jard-sur-Mer,bienici,Pro,Agence,Vente,Non,2120.8513171602917,Active
Givrand,Maison/Villa,Propiété Givrand,1494-1,immo-facile-34194298,85800,85100,132,401700,5,4,2020-01-22,20:19:29.192350,85,Non,Givrand,bienici,Pro,Agence,Vente,Non,3043.181818181818,Active
La Roche-sur-Yon,Maison/Villa,LA ROCHE SUR YON, MAISON 4 CHAMBRES AVEC DÉPENDANCES,7647,immo-facile-adresse-10893198,85000,85191,140,193000,6,4,2020-01-22,20:19:29.192350,85,Non,Le Bourg sous la Roche,bienici,Pro,Agence,Vente,Non,1378.5714285714287,Active
Saint-Étienne-du-Bois,Maison/Villa,Maison à vendre  2 hectares de terrain,6M5L6,immo-facile-adresse-10820040,85670,85210,138,292500,4,3,2020-01-22,20:19:29.192350,85,Non,Saint-Étienne-du-Bois,bienici,Pro,Agence,Vente,Non,2119.5652173913045,Active
Saint-Michel-en-l'Herm,Maison/Villa,Maison Saint Michel En L Herm 7 pièce(s) 140 m2,17,immo-facile-33550206,85580,85255,140,265200,7,5,2020-01-22,20:19:29.192350,85,Non,Saint-Michel-en-l'Herm,bienici,Pro,Agence,Vente,Non,1821.4285714285713,Active
Pouzauges,Maison/Villa,Maison  Pouzauges 4 chambres,199825JLR,ag440414-196389832,85700,85182,140,198550,7,4,2020-01-22,20:19:29.192350,85,Non,Pouzauges,bienici,Pro,Mandataire,Vente,Non,1357.142857142857,Active
Noirmoutier-en-l'Île,Maison/Villa,Maison Noirmoutier 4 chambres 137 m2,199187BAM,ag440414-195560593,85330,85163,137,566700,6,4,2020-01-22,20:19:29.192350,85,Non,Luzay - La Houssinière - Marais,bienici,Pro,Mandataire,Vente,Non,4136.496350364963,Active
Saint-Jean-de-Monts,Maison/Villa,Saint Jean de Monts - Maison 5 pièces,6464,immo-facile-adresse-9456681,85160,85234,131.07,253300,5,4,2020-01-22,20:19:29.192350,85,Non,Route des Sables - Beaulieu - Forêt Domaniale Pays de Monts,bienici,Pro,Agence,Vente,Non,1831.0826276035707,Active
La Châtaigneraie,Maison/Villa,Maison de village La Chataigneraie 7 pièce(s) 140 m2,191482MCM,ag440414-185868640,85120,85059,140,157000,7,3,2020-01-22,20:19:29.192350,85,Non,La Châtaigneraie,bienici,Pro,Mandataire,Vente,Non,1078.5714285714287,Active
Le Fenouiller,Maison/Villa,Maison  4 pièce(s) 134 m2 LE FENOUILLER,4306RD-1,immo-facile-adresse-10314046,85800,85088,134,285430,4,3,2020-01-22,20:19:29.192350,85,Non,Le Fenouiller,bienici,Pro,Agence,Vente,Non,2130.0746268656717,Active
Saint-Jean-de-Monts,Maison/Villa,Maison A Vendre Saint Jean De Monts - 6 pièces - 132 m²,6127,immo-facile-adresse-9620835,85160,85234,132.5,303600,6,3,2020-01-22,20:19:29.192350,85,Non,Garenne - Gatonneau - Beau Séjour,bienici,Pro,Agence,Vente,Non,2173.5849056603774,Active
Le Langon,Maison/Villa,Longere en L,VM4108-MARANS-8,ag170484-234985075,85370,85121,136,116000,6,4,2020-01-22,20:19:29.192350,85,Non,Le Langon,bienici,Pro,Agence,Vente,Non,801.4705882352941,Active
Chantonnay,Maison/Villa,BELLE MAISON D'ARCHITECTE,57451,hektor-cabinetfruchet-12389,85110,85051,135,201400,8,4,2020-01-22,20:19:29.192350,85,Non,Chantonnay,bienici,Pro,Agence,Vente,Non,1407.4074074074074,Active
Saint-Benoist-sur-Mer,Maison/Villa,MAGNIFIQUE MAISON AU BORD DU MARAIS,02409g,immo-facile-35270852,85540,85201,138.72,254680,4,3,2020-01-22,20:19:29.192350,85,Non,Saint-Benoist-sur-Mer,bienici,Pro,Agence,Vente,Non,1744.5213379469435,Active
Les Brouzils,Maison/Villa,Maison Les Brouzils 7 pièce(s) 140 m2,777JR,immo-facile-adresse-10928837,85260,85038,140,250800,7,5,2020-01-22,20:19:29.192350,85,Non,Les Brouzils,bienici,Pro,Agence,Vente,Non,1791.4285714285713,Active
