codepostal;ville;nb_pieces;prix_m2
31500;toulouse;3;12,76
33000;bordeaux;1;22
34000;montpellier;3;14,91
06100;nice;1;22,22
13090;aix-en-provence;4;13,99
30000;nimes;1;10,42
06300;nice;2;26,08
33000;bordeaux;2;16,05
59000;lille;1;32
06150;cannes;1;18,33
06000;nice;1;21,82
75016;paris-16eme;3;53,73
34000;montpellier;3;11,37
13100;aix-en-provence;2;15,34
59000;lille;5;16,27
31500;toulouse;2;1,32
75016;paris-16eme;1;65,69
31200;toulouse;2;11,97
06000;nice;1;16,21
31400;toulouse;1;17,17
31200;toulouse;1;24,75
06000;nice;1;27,62
31000;toulouse;3;12,31
13100;aix-en-provence;4;17,49
34000;montpellier;2;17,19
06300;nice;1;44,58
59000;lille;1;20,81
34000;montpellier;2;14,24
13100;aix-en-provence;1;23,01
31400;toulouse;2;13,78
34000;montpellier;2;14,92
33000;bordeaux;3;15
31100;toulouse;2;13,21
75016;paris-16eme;4;30,94
06000;nice;1;26,39
13100;aix-en-provence;1;31,25
31000;toulouse;1;1,88
31200;toulouse;3;11,77
59800;lille;5;16,82
31200;toulouse;3;1,02
33000;bordeaux;3;12,54
59000;lille;2;24,17
31000;toulouse;2;12,69
06000;nice;1;26,8
30000;nimes;4;9,29
30000;nimes;1;17,78
06300;nice;1;2,25
59000;lille;5;9,7
13100;aix-en-provence;1;22,67
34000;montpellier;3;11,54
06100;nice;1;23,64
76100;rouen;3;10,45
31000;toulouse;3;9,84
59000;lille;1;20,57
76000;rouen;2;19,11
59000;lille;1;29,72
31500;toulouse;2;13,13
31000;toulouse;2;10,2
13100;aix-en-provence;1;21,11
06200;nice;2;4946,67
31100;toulouse;1;13,25
31000;toulouse;1;1,85
76100;rouen;1;13,79
31100;toulouse;3;0,97
31400;toulouse;1;13,91
33000;bordeaux;1;18,44
06100;nice;1;19,31
34090;montpellier;2;14,42
75016;paris-16eme;2;30,27
13100;aix-en-provence;2;20,22
34000;montpellier;2;13,38
06000;nice;1;2,59
13100;aix-en-provence;1;19,68
31000;toulouse;2;13,58
06400;cannes;1;2,16
13080;aix-en-provence;5;10300
06000;nice;1;19,33
13100;aix-en-provence;2;17,37
06000;nice;1;23,2
34090;montpellier;2;11,33
13100;aix-en-provence;1;21,25
34000;montpellier;2;11
06000;nice;1;29,12
30000;nimes;2;11,35
83000;toulon;3;2577,46
34000;montpellier;3;1,1
06000;nice;1;32,63
75116;paris-16eme;3;43,1
59000;lille;1;17,64
59000;lille;1;22,33
06000;nice;1;15,08
83000;toulon;2;18,97
30000;nimes;1;26,25
31200;toulouse;3;10,7
06200;nice;1;27,88
33000;bordeaux;3;12,94
06000;nice;1;20
06000;nice;2;12,47
13100;aix-en-provence;1;19,7
13100;aix-en-provence;1;30,67
06300;nice;1;28,42
33800;bordeaux;2;21,5
34000;montpellier;2;19,04
13100;aix-en-provence;1;25,7
13100;aix-en-provence;1;15,53
30000;nimes;4;8,73
75016;paris-16eme;3;25,95
06000;nice;1;22
30000;nimes;4;10,16
30000;nimes;4;10,46
06000;nice;1;17,54
76000;rouen;1;23,89
31300;toulouse;1;12,43
06400;cannes;1;22,33
31100;toulouse;4;7,21
76000;rouen;1;14,73
13100;aix-en-provence;3;15,75
83000;toulon;2;14,29
06000;nice;1;22,25
59000;lille;2;17,93
13100;aix-en-provence;3;15,82
13100;aix-en-provence;1;35,71
13100;aix-en-provence;1;21,13
76000;rouen;3;13,27
59000;lille;4;1,43
75016;paris-16eme;4;34,22
31500;toulouse;4;10,65
13100;aix-en-provence;4;22,85
59000;lille;1;19,47
06000;nice;1;30
31100;toulouse;1;11,56
75016;paris-16eme;2;29,77
31300;toulouse;2;14,02
30000;nimes;2;7,88
06200;nice;2;18,43
33000;bordeaux;2;1,53
34070;montpellier;2;13,26
31200;toulouse;3;10,27
33000;bordeaux;4;1,12
34000;montpellier;2;17,66
34000;montpellier;2;15,97
06000;nice;1;24,4
06000;nice;2;14,18
76000;rouen;1;18
75116;paris-16eme;2;47,39
76100;rouen;1;15,01
31100;toulouse;1;16,91
13100;aix-en-provence;1;18,91
59000;lille;1;31,25
31000;toulouse;1;30
59000;lille;2;18,12
06300;nice;2;27,14
31500;toulouse;1;16,18
34000;montpellier;2;16,74
34000;montpellier;2;12,11
13100;aix-en-provence;1;23,6
31400;toulouse;2;15,1
33000;bordeaux;2;15,79
06400;cannes;2;1,72
13100;aix-en-provence;1;35,33
31000;toulouse;1;24,8
34000;montpellier;3;12,98
06000;nice;1;32,67
33000;bordeaux;2;5500
06400;cannes;1;24,75
31300;toulouse;3;11,91
59000;lille;2;18,06
30000;nimes;2;13,52
75016;paris-16eme;2;26,92
75016;paris-16eme;2;25,86
13100;aix-en-provence;1;2,32
06000;nice;1;18,48
13090;aix-en-provence;1;29,86
06000;nice;2;17,29
06300;nice;2;22,73
76000;rouen;3;10,64
75016;paris-16eme;2;33,72
75016;paris-16eme;2;44,15
33000;bordeaux;2;22,62
06400;cannes;2;39,39
59800;lille;5;15,14
13100;aix-en-provence;1;25,79
76000;rouen;1;26,67
06000;nice;4;4947,92
31400;toulouse;1;22
06400;cannes;1;23,03
31100;toulouse;4;10,6
13080;aix-en-provence;1;34,41
30000;nimes;2;10,78
33000;bordeaux;3;12,15
06200;nice;1;22,04
13100;aix-en-provence;1;25,24
34070;montpellier;3;11,5
75016;paris-16eme;4;36,17
13100;aix-en-provence;1;16,59
33000;bordeaux;1;26,47
31000;toulouse;1;28,75
06100;nice;1;18,81
75116;paris-16eme;1;38,07
31100;toulouse;2;16,71
31000;toulouse;1;17,68
13100;aix-en-provence;2;16,49
06150;cannes;2;24,23
75116;paris-16eme;3;50
75016;paris-16eme;2;28,57
33000;bordeaux;1;15,37
13090;aix-en-provence;1;24,01
06100;nice;1;23,52
06000;nice;1;2,59
75116;paris-16eme;4;35,12
31300;toulouse;1;27,22
06400;cannes;2;23,4
13100;aix-en-provence;1;19,12
31100;toulouse;1;15,06
30900;nimes;2;11,92
06000;nice;1;28,23
75016;paris-16eme;3;37,78
76100;rouen;1;12,83
31200;toulouse;2;11,5
76000;rouen;2;14,86
13100;aix-en-provence;1;30,56
13090;aix-en-provence;1;22,72
06300;nice;2;18,48
06000;nice;1;26,67
75016;paris-16eme;4;28,8
13100;aix-en-provence;1;22,59
13100;aix-en-provence;4;12,75
31000;toulouse;2;15,05
06000;nice;1;22,17
31000;toulouse;1;22,52
75016;paris-16eme;3;31,05
06000;nice;1;24,39
31500;toulouse;1;23,13
76000;rouen;1;1,61
83100;toulon;2;16,46
13100;aix-en-provence;3;14,6
13090;aix-en-provence;1;26
31200;toulouse;3;11,18
31000;toulouse;2;10,85
31200;toulouse;2;12,15
33000;bordeaux;3;18,94
75116;paris-16eme;1;36,77
13100;aix-en-provence;1;21,17
30000;nimes;1;11,94
75016;paris-16eme;3;31,87
34080;montpellier;2;13,27
76100;rouen;1;15
06100;nice;1;22,41
75016;paris-16eme;2;23,46
31500;toulouse;3;10,2
06100;nice;1;15,42
34000;montpellier;2;15,26
30000;nimes;2;8,8
75016;paris-16eme;1;33,64
34070;montpellier;2;21,67
31300;toulouse;2;14,93
34000;montpellier;2;15,87
76000;rouen;1;25,08
13100;aix-en-provence;4;11,26
06000;nice;1;30,53
06000;nice;1;27,78
33000;bordeaux;1;28,83
34090;montpellier;2;13,63
31000;toulouse;2;12,41
33000;bordeaux;2;21,06
06000;nice;1;29,3
33000;bordeaux;3;14,04
76000;rouen;6;10,57
31200;toulouse;2;11,25
13100;aix-en-provence;1;24,66
30000;nimes;2;15,52
76000;rouen;1;25,25
06000;nice;1;20,91
06000;nice;2;17,02
06000;nice;1;13,16
33000;bordeaux;1;25
13100;aix-en-provence;2;19,06
75016;paris-16eme;2;23,43
34090;montpellier;2;18,18
13090;aix-en-provence;1;20,39
06400;cannes;1;26,05
59000;lille;1;2,2
59000;lille;2;16,38
13100;aix-en-provence;1;18,24
06200;nice;3;13,07
34000;montpellier;3;10,59
06000;nice;1;22,5
31200;toulouse;2;2510,51
06000;nice;1;26,67
06400;cannes;1;21,77
06000;nice;1;16,3
13100;aix-en-provence;1;18,4
13100;aix-en-provence;1;15,43
06200;nice;1;32,5
76000;rouen;2;10,58
31000;toulouse;1;17,96
06000;nice;1;22,58
06000;nice;4;23,91
06300;nice;2;20
06000;nice;1;30
31200;toulouse;2;11,61
06200;nice;1;30,83
06300;nice;3;16
59000;lille;3;15,55
75016;paris-16eme;3;29,41
06000;nice;1;28,56
06200;nice;2;2,17
34000;montpellier;2;23,03
31300;toulouse;4;10,15
31500;toulouse;1;24,69
75016;paris-16eme;1;34,99
34090;montpellier;2;15,48
06000;nice;3;16,62
59000;lille;1;20,83
59000;lille;2;14
75116;paris-16eme;4;32,86
06000;nice;2;19,93
34070;montpellier;2;14,18
13100;aix-en-provence;1;27,6
59000;lille;1;17,48
75016;paris-16eme;1;58,89
59000;lille;2;19,94
31400;toulouse;2;16,91
34090;montpellier;2;14,44
31200;toulouse;1;17,8
59000;lille;2;26,59
13090;aix-en-provence;3;17,57
34000;montpellier;2;14,46
06100;nice;2;12,62
83200;toulon;4;11,28
06300;nice;2;18,72
33000;bordeaux;1;23,28
59800;lille;1;27,5
06200;nice;2;18,04
31300;toulouse;1;17,55
31400;toulouse;2;25,63
06000;nice;4;3712,77
13090;aix-en-provence;1;20,77
13100;aix-en-provence;1;25,96
13090;aix-en-provence;5;16,64
06400;cannes;3;18,38
06000;nice;1;31,58
06000;nice;1;23,95
34070;montpellier;2;11,54
06200;nice;1;21,12
59800;lille;2;15,71
59800;lille;2;18,15
75016;paris-16eme;4;26,09
59000;lille;2;15,25
30000;nimes;3;10,48
59000;lille;2;14,34
34070;montpellier;2;13,1
31500;toulouse;4;11,08
13090;aix-en-provence;2;18,48
34000;montpellier;2;14,66
76000;rouen;5;10,48
34000;montpellier;2;18,94
31000;toulouse;3;10,39
34000;montpellier;2;15,45
31000;toulouse;1;18,18
59000;lille;2;12,47
33000;bordeaux;1;22,22
06200;nice;2;18,46
31000;toulouse;1;17,37
33000;bordeaux;4;11,67
34070;montpellier;2;11,54
75116;paris-16eme;2;28,62
13090;aix-en-provence;5;25,28
31000;toulouse;3;11,91
34090;montpellier;3;12,99
06000;nice;1;19,89
75016;paris-16eme;1;40,35
34000;montpellier;2;16,06
31200;toulouse;1;12,65
06000;nice;3;18,47
34000;montpellier;3;13,43
31400;toulouse;1;20,1
30000;nimes;2;12,97
31400;toulouse;4;9,09
75016;paris-16eme;3;31,69
31200;toulouse;3;10,92
31400;toulouse;2;13,35
13100;aix-en-provence;1;23,21
75016;paris-16eme;2;26,48
30000;nimes;2;10,83
13100;aix-en-provence;1;20,92
13090;aix-en-provence;5;25,28
31400;toulouse;2;14,37
06200;nice;1;19,03
13100;aix-en-provence;1;21,39
59000;lille;3;13,38
76000;rouen;2;13,3
75116;paris-16eme;2;49,33
75016;paris-16eme;5;31,47
31000;toulouse;1;20,8
59000;lille;1;21,25
31000;toulouse;1;20,57
34000;montpellier;2;13,35
13100;aix-en-provence;4;14,66
76000;rouen;3;8,87
06000;nice;1;25,48
13100;aix-en-provence;1;21,86
13090;aix-en-provence;5;25,28
31100;toulouse;3;11,97
13100;aix-en-provence;1;22,4
34000;montpellier;3;11,78
30900;nimes;1;23
76100;rouen;2;0,92
06150;cannes;2;14,2
31400;toulouse;1;22,5
06200;nice;2;21,43
76100;rouen;2;12,58
75016;paris-16eme;5;29,66
31000;toulouse;3;6159,66
31100;toulouse;4;9,19
59000;lille;2;19,43
30900;nimes;1;12,22
76000;rouen;2;13,03
06000;nice;3;5733,33
75116;paris-16eme;1;54,55
34000;montpellier;2;16,25
59000;lille;1;17,47
76000;rouen;2;13,95
13080;aix-en-provence;3;9,21
33000;bordeaux;1;21,98
13100;aix-en-provence;1;25,48
34000;montpellier;2;14,43
31400;toulouse;2;23,2
31500;toulouse;3;10,45
75016;paris-16eme;1;52,52
06200;nice;2;14,5
34000;montpellier;2;11,6
75016;paris-16eme;4;25,49
75016;paris-16eme;3;21,62
31300;toulouse;2;13,16
