IRIS;REG;DEP;UU2010;COM;LIBCOM;TRIRIS;GRD_QUART;TYP_IRIS;LAB_IRIS;P17_LOG;P17_RP;P17_RSECOCC;P17_LOGVAC;P17_MAISON;P17_APPART;P17_RP_1P;P17_RP_2P;P17_RP_3P;P17_RP_4P;P17_RP_5PP;P17_RP_M30M2;P17_RP_3040M2;P17_RP_4060M2;P17_RP_6080M2;P17_RP_80100M2;P17_RP_100120M2;P17_RP_120M2P;P17_RP_ACHTOT;P17_RP_ACH19;P17_RP_ACH45;P17_RP_ACH70;P17_RP_ACH90;P17_RP_ACH05;P17_RP_ACH14;P17_RPMAISON_ACHTOT;P17_RPMAISON_ACH19;P17_RPMAISON_ACH45;P17_RPMAISON_ACH70;P17_RPMAISON_ACH90;P17_RPMAISON_ACH05;P17_RPMAISON_ACH14;P17_RPAPPART_ACHTOT;P17_RPAPPART_ACH19;P17_RPAPPART_ACH45;P17_RPAPPART_ACH70;P17_RPAPPART_ACH90;P17_RPAPPART_ACH05;P17_RPAPPART_ACH14;P17_MEN_ANEM0002;P17_MEN_ANEM0204;P17_MEN_ANEM0509;P17_MEN_ANEM10P;P17_RP_PROP;P17_RP_LOC;P17_RP_LOCHLMV;P17_RP_GRAT;P17_RP_CCCOLL;P17_RP_CCIND;P17_RP_CINDELEC;P17_RP_GARL;P17_RP_VOIT1P;C17_RP_HSTU1P;C17_RP_HSTU1P_SUROCC
2A0410000;94;2A;2A101;2A041;Bonifacio;ZZZZZZ;2A04100;Z;5;3224;1373;1777;74;2130;1069;32;148;390;454;350;37;89;206;323;317;194;206;1253;164;48;129;412;357;144;793;16;7;52;283;309;127;447;147;41;75;127;44;14;124;304;232;713;768;507;106;99;45.0;179.0;870.0;696;1241;1350;64
2A0480000;94;2A;2A000;2A048;Calcatoggio;ZZZZZZ;2A04800;Z;5;1040;248;743;49;603;434;9;25;73;62;79;6;20;38;42;50;39;53;236;34;18;33;75;45;30;185;17;16;25;52;45;29;48;17;2;5;23;0;1;19;45;39;146;185;47;0;17;0.0;16.0;119.0;174;236;241;14
2A0560000;94;2A;2A000;2A056;Campo;ZZZZZZ;2A05600;Z;5;107;58;43;6;97;10;1;5;24;15;13;2;5;12;14;12;8;5;52;20;13;5;6;2;6;42;16;9;5;4;2;6;10;4;4;0;2;0;0;4;10;12;32;45;10;0;3;0.0;10.0;33.0;28;53;57;1
2A0600000;94;2A;2A000;2A060;Cannelle;ZZZZZZ;2A06000;Z;5;69;28;40;1;58;11;0;8;2;6;12;2;1;7;2;7;4;5;28;7;0;5;7;5;4;23;5;0;4;6;4;4;5;2;0;1;1;1;0;6;2;2;18;18;8;0;2;0.0;2.0;8.0;17;27;28;1
2A0610000;94;2A;2A000;2A061;Carbini;ZZZZZZ;2A06100;Z;5;162;52;93;18;111;51;0;7;13;19;12;0;6;13;11;10;9;3;52;13;6;11;13;6;2;38;6;4;7;13;6;2;14;6;3;4;0;1;0;3;6;5;38;43;6;0;3;0.0;5.0;20.0;32;50;52;6
2A0620000;94;2A;2A000;2A062;Carbuccia;ZZZZZZ;2A06200;Z;5;261;182;59;21;227;14;1;18;69;45;48;15;18;42;42;27;20;17;181;48;13;24;39;38;19;150;41;12;23;35;23;17;13;5;1;1;1;4;1;32;30;28;92;115;46;1;21;1.0;13.0;58.0;90;155;181;16
2A0640000;94;2A;2A000;2A064;Cardo-Torgia;ZZZZZZ;2A06400;Z;5;24;16;6;2;21;3;0;2;8;0;6;0;1;7;2;4;2;0;16;7;0;3;4;1;1;15;6;0;3;4;1;1;1;1;0;0;0;0;0;2;3;2;9;11;2;0;3;0.0;3.0;6.0;6;16;16;0
2A0650000;94;2A;2A000;2A065;Cargèse;ZZZZZZ;2A06500;Z;5;1887;625;1262;0;939;846;5;76;188;168;188;4;46;81;159;112;101;122;609;122;46;83;204;98;56;334;51;25;39;128;55;36;264;71;21;40;75;38;19;84;109;111;321;364;210;2;51;4.0;55.0;418.0;273;544;621;34
2A0660000;94;2A;2A000;2A066;Cargiaca;ZZZZZZ;2A06600;Z;5;77;30;39;8;62;16;1;5;9;10;6;1;5;8;4;10;1;2;30;19;3;5;2;0;1;22;14;3;3;2;0;1;8;6;0;2;0;0;0;5;4;7;14;20;7;0;3;0.0;0.0;8.0;5;30;29;1
2A0700000;94;2A;2A000;2A070;Casaglione;ZZZZZZ;2A07000;Z;5;811;210;599;2;309;435;12;32;53;49;64;10;22;34;27;27;42;48;203;19;13;29;70;48;24;144;16;9;19;39;43;18;55;3;4;9;30;5;4;26;27;31;126;150;45;3;15;3.0;17.0;103.0;138;185;200;6
