IRIS;DEP;UU2010;COM;TRIRIS;GRD_QUART;TYP_IRIS;P17_POP;P17_POP0014;P17_POP1529;P17_POP3044;P17_POP4559;P17_POP6074;P17_POP75P;P17_POP0019;P17_POP2064;P17_POP65P;C17_POP15P;C17_POP15P_CS1;C17_POP15P_CS2;C17_POP15P_CS3;C17_POP15P_CS4;C17_POP15P_CS5;C17_POP15P_CS6;C17_POP15P_CS7;C17_POP15P_CS8;P17_POP_FR;P17_POP_ETR;P17_POP_IMM;P17_PMEN;P17_PHORMEN
731680000;73;73000;73168;ZZZZZZ;7316800;Z;123;22;14;25;29;23;10;25;76;22;100;0;5;10;25;10;10;25;15;122;1;3;123;0
731700000;73;73401;73170;ZZZZZZ;7317000;Z;550;101;71;109;136;100;32;147;314;89;408;0;26;42;63;63;52;105;58;541;9;21;547;3
731710000;73;73202;73171;ZZZZZZ;7317100;Z;4123;787;741;826;761;581;427;1034;2300;789;3365;0;110;195;435;595;615;915;500;3577;546;692;3951;172
731730000;73;73000;73173;ZZZZZZ;7317300;Z;471;61;78;82;120;83;47;81;295;95;401;0;5;30;108;44;74;116;24;462;9;17;471;0
731750000;73;73000;73175;ZZZZZZ;7317500;Z;63;7;2;15;8;24;6;8;35;20;58;5;5;5;11;0;11;21;0;63;0;0;63;0
731760000;73;73000;73176;ZZZZZZ;7317600;Z;686;104;120;157;169;95;42;131;450;105;543;5;80;20;138;84;75;106;34;665;21;28;686;0
731770000;73;73000;73177;ZZZZZZ;7317700;Z;230;41;25;44;62;47;10;48;142;39;192;5;10;25;30;30;10;69;15;225;5;6;230;0
731780000;73;73000;73178;ZZZZZZ;7317800;Z;498;101;50;97;128;89;34;120;292;86;375;35;15;15;54;25;35;128;69;484;14;19;498;0
731790101;73;73601;73179;ZZZZZZ;7317901;H;3402;559;606;613;728;582;313;787;1926;689;2839;0;110;186;462;565;340;812;365;3295;107;235;3338;64
731790102;73;73601;73179;ZZZZZZ;7317901;H;2100;423;378;410;380;350;159;565;1190;345;1676;0;22;106;304;326;221;464;232;2017;84;134;2042;58
731790103;73;73601;73179;ZZZZZZ;7317901;H;3565;510;411;528;733;876;509;659;1834;1072;3054;0;104;346;494;393;176;1277;264;3522;43;127;3409;156
731790104;73;73601;73179;ZZZZZZ;7317901;H;2758;530;473;508;665;420;162;728;1609;422;2228;64;104;253;436;338;244;500;289;2726;32;90;2745;13
731800000;73;73000;73180;ZZZZZZ;7318000;Z;437;72;44;90;104;80;47;90;255;92;345;5;15;25;80;60;30;105;25;423;14;16;437;0
731810000;73;73110;73181;ZZZZZZ;7318100;Z;3501;619;640;662;688;504;388;894;1920;687;2842;0;130;110;260;544;534;736;528;2922;579;646;3311;190
731820000;73;73601;73182;ZZZZZZ;7318200;Z;2234;429;265;457;506;439;138;549;1273;412;1840;0;85;195;335;295;175;520;235;2189;45;89;2234;0
731830000;73;73601;73183;ZZZZZZ;7318300;Z;1236;221;173;242;268;236;96;285;700;250;1004;29;43;120;206;144;91;263;108;1214;22;51;1224;12
