INSEE_COM;DEP;IRIS;TYP_IRIS;LAB_IRIS;C19_MEN;C19_MENPSEUL;C19_MENSFAM;C19_MENFAM;C19_FAM;C19_COUPAENF;C19_FAMMONO;C19_COUPSENF;C19_NE24F0;C19_NE24F1;C19_NE24F2;C19_NE24F3;C19_NE24F4P;C19_MENHSEUL;C19_MENFSEUL;P19_POP15P_PSEUL;P19_POP15P_MARIEE;P19_POP15P_PACSEE;P19_POP15P_CONCUB_UNION_LIBRE;P19_POP15P_VEUFS;P19_POP15P_DIVORCEE;P19_POP15P_CELIBATAIRE;C19_COUPAENF;C19_FAMMONO;C19_COUPSENF;C19_NE24F0;C19_NE24F1;C19_NE24F2;C19_NE24F3;C19_NE24F4P
56017;56;560170000;Z;5;1205.0;370.0;15.0;820.0;825.0;340.0;115.0;370.0;410.0;185.0;175.0;45.0;10.0;145.0;225.0;362.0;1125.0;103.0;307.0;156.0;82.0;513.0;340.0;115.0;370.0;410.0;185.0;175.0;45.0;10.0
56018;56;560180000;Z;5;403.714123456849;113.571540092327;10.5198809124315;279.622702452091;284.981877338777;85.8241735651214;47.373091220449;151.784612553207;178.117118492267;47.5707366248642;37.3813626618257;16.2793183534308;5.63334120638952;25.8117136573471;87.7598264349801;119.766351370091;373.034918975899;37.2330222036712;78.4926620834687;50.8509482846577;48.8188924781885;256.033363656892;85.8241735651214;47.373091220449;151.784612553207;178.117118492267;47.5707366248642;37.3813626618257;16.2793183534308;5.63334120638952
56019;56;560190000;Z;5;165.0;65.0;0.0;100.0;100.0;35.0;10.0;55.0;60.0;25.0;5.0;10.0;0.0;30.0;35.0;63.0;127.0;10.0;35.0;34.0;11.0;69.0;35.0;10.0;55.0;60.0;25.0;5.0;10.0;0.0
56020;56;560200000;Z;5;325.296376328327;92.0572403153451;5.07426443508957;228.164871577892;228.164871577892;136.468579125887;10.1884769391117;81.5078155128936;86.5820799479832;40.6340635496491;75.7957130453946;20.1382040322845;5.01481100258093;40.9143290290423;51.1429112863029;87.9658074124409;260.769162456767;65.8503240612616;118.430586242993;34.7331893777132;25.4755792926676;130.806907869656;136.468579125887;10.1884769391117;81.5078155128936;86.5820799479832;40.6340635496491;75.7957130453946;20.1382040322845;5.01481100258093
56021;56;560210000;Z;5;537.837823620785;104.615592195906;10.3001128847989;422.92211854008;422.92211854008;219.990856968784;35.7073709998348;167.223890571461;172.288719927054;76.9867023766312;120.153724161582;37.2585493291124;16.2344227456998;24.9084743323585;79.7071178635471;106.608270142494;536.945476487816;120.111924336092;143.944386851483;54.9150318159584;37.2843997301395;171.731552606577;219.990856968784;35.7073709998348;167.223890571461;172.288719927054;76.9867023766312;120.153724161582;37.2585493291124;16.2344227456998
56022;56;560220000;Z;5;508.359607535982;115.930551181899;10.1904334926988;382.238622861383;382.238622861383;180.771557169027;25.3899854948602;176.077080197496;186.266059534052;81.3440250482434;80.316979524975;19.7009034717123;14.6106552824003;63.2348460992178;52.6957050826815;121.200121690167;503.253536305022;74.2496687821506;135.144231980873;77.1306575741603;38.3167884368547;189.427915319381;180.771557169027;25.3899854948602;176.077080197496;186.266059534052;81.3440250482434;80.316979524975;19.7009034717123;14.6106552824003
56023;56;560230000;Z;5;2743.97655125956;842.506412928694;51.2847855729702;1850.18535275789;1855.01827392705;865.333565522534;133.358817793287;856.32589061123;912.226327306642;393.95580666663;392.242317405802;125.641316852644;30.9525056953331;325.862706319157;516.643706609536;841.76960762006;2564.62811516226;305.370508631724;638.583584444597;336.278211675299;296.141221315051;1280.03006331596;865.333565522534;133.358817793287;856.32589061123;912.226327306642;393.95580666663;392.242317405802;125.641316852644;30.9525056953331
56024;56;560240000;Z;5;890.040870161839;277.147213396401;24.9157546657543;587.977902099684;592.893046133448;232.642686833026;39.8452997468834;320.405059553539;345.350732229173;84.5735194805369;118.823417035462;34.4060082363509;9.73936915192529;146.132167063557;131.015046332844;273.115981201544;890.583254942951;58.5714065157875;202.97093722239;175.883439078962;59.2087346203258;560.058136562107;232.642686833026;39.8452997468834;320.405059553539;345.350732229173;84.5735194805369;118.823417035462;34.4060082363509;9.73936915192529
56025;56;560250000;Z;5;87.741935483871;20.6451612903226;5.16129032258065;61.9354838709677;61.9354838709677;15.4838709677419;20.6451612903226;25.8064516129032;36.1290322580645;5.16129032258065;10.3225806451613;10.3225806451613;0.0;10.3225806451613;10.3225806451613;29.9354838709677;80.5161290322581;2.06451612903226;20.6451612903226;14.4516129032258;5.16129032258065;33.0322580645161;15.4838709677419;20.6451612903226;25.8064516129032;36.1290322580645;5.16129032258065;10.3225806451613;10.3225806451613;0.0
56026;56;560260000;Z;5;1142.64969897175;480.317351337688;20.2238884773761;642.108459156688;642.108459156688;227.518745370478;91.0074981481921;323.582215638018;384.253881070146;111.231386625568;106.175414506223;25.2798605967195;15.1679163580315;267.966522325236;212.350829012452;478.29496248995;939.376943239382;85.9401877614807;204.261273621497;232.098510260409;96.0181171980688;440.778724400495;227.518745370478;91.0074981481921;323.582215638018;384.253881070146;111.231386625568;106.175414506223;25.2798605967195;15.1679163580315
56027;56;560270000;Z;5;229.134561787962;74.7177918873789;0.0;154.416769900583;154.416769900583;69.7366057615536;19.924744503301;64.7554196357284;74.7177918873789;29.8871167549516;29.8871167549516;14.9435583774758;4.98118612582526;49.8118612582526;24.9059306291263;71.7290802118837;201.23991948334;15.9397956026408;64.7554196357284;36.8870599714681;12.9510839271457;101.629338287016;69.7366057615536;19.924744503301;64.7554196357284;74.7177918873789;29.8871167549516;29.8871167549516;14.9435583774758;4.98118612582526
56028;56;560280000;Z;5;735.0;235.0;15.0;485.0;485.0;200.0;90.0;195.0;225.0;130.0;95.0;30.0;5.0;95.0;140.0;242.0;636.0;51.0;183.0;122.0;47.0;276.0;200.0;90.0;195.0;225.0;130.0;95.0;30.0;5.0
56029;56;560290000;Z;5;455.357150973557;85.7153714436797;10.5679539857505;359.073825544127;359.073825544127;226.974400722246;10.5679539857505;121.531470836131;126.815447829006;104.235875116874;102.80998409009;20.2116011863854;5.00091732177142;32.1432642913799;53.5721071522998;86.7868135867257;472.977747316876;95.4733490528936;123.622815637277;33.0686394352748;34.0381550353616;178.737535142227;226.974400722246;10.5679539857505;121.531470836131;126.815447829006;104.235875116874;102.80998409009;20.2116011863854;5.00091732177142
56030;56;560300000;Z;5;482.782662127212;149.803838000653;0.0;332.978824126558;332.978824126558;114.690139568324;63.4617449118565;154.826939646378;170.641994629191;73.3333649650457;74.7330084638771;14.2704560684447;0.0;72.1277738521665;77.676064148487;144.255547704333;445.510804886549;41.6577288530055;97.7685736462642;61.5591896516946;59.6726095268605;164.09689410223;114.690139568324;63.4617449118565;154.826939646378;170.641994629191;73.3333649650457;74.7330084638771;14.2704560684447;0.0
56031;56;560310000;Z;5;1335.32087515559;399.587084625894;10.0871128957419;925.64667763395;925.64667763395;406.261544629268;75.5521655920404;443.832967412642;484.109087486568;176.076144799377;160.512565227765;90.0338411292824;14.9150389909583;197.264510131771;202.322574494124;407.679987605659;1235.93421804994;150.772261551474;299.67750828386;164.811703802948;124.214073363853;457.134371012711;406.261544629268;75.5521655920404;443.832967412642;484.109087486568;176.076144799377;160.512565227765;90.0338411292824;14.9150389909583
56032;56;560320000;Z;5;801.682462993792;244.1057673709;5.05228015561428;552.524415467278;552.524415467278;239.54671252871;50.2591348466249;262.718568091943;272.790089219186;80.4069730980255;154.743068855881;44.5842842941854;0.0;132.223957325904;111.881810044996;240.037337914719;726.548077723405;96.1936922099934;208.790252969542;84.2276306534502;64.9158064101812;315.698332861132;239.54671252871;50.2591348466249;262.718568091943;272.790089219186;80.4069730980255;154.743068855881;44.5842842941854;0.0
56033;56;560330000;Z;5;1440.81122173648;553.616181048757;15.0192373278764;872.17580335985;872.17580335985;302.724362349186;98.8486714038694;470.602769606795;545.126185519894;118.296474696237;151.145424793885;48.1554941842938;9.45222416554051;274.2685667581;279.347614290657;550.568752529223;1207.36363359782;93.6432634487172;321.493760530726;315.094536383309;123.234407508966;563.520221792823;302.724362349186;98.8486714038694;470.602769606795;545.126185519894;118.296474696237;151.145424793885;48.1554941842938;9.45222416554051
