INSEE_COM;DEP;IRIS;TYP_IRIS;LAB_IRIS;P19_NSCOL15P_DIPLMIN;P19_NSCOL15P_BEPC;P19_NSCOL15P_CAPBEP;P19_NSCOL15P_BAC;P19_NSCOL15P_SUP2;P19_NSCOL15P_SUP34;P19_NSCOL15P_SUP5
81099;81;810990101;H;1;657.212257372714;138.843896886159;453.741645664814;297.57873533275;213.446953522752;215.237562949831;157.70757049162
81099;81;810990102;H;1;550.387493191508;135.563765077269;361.270482357116;227.372892384975;166.136095655509;116.05693503304;91.8547343605935
81099;81;810990103;H;1;408.082357515186;158.907858919496;461.765279249572;327.475727664841;174.319688135491;198.188538489804;174.928967517312
81099;81;810990104;H;1;446.774112540261;163.805322047831;536.75092877853;431.972546364499;319.179729455785;268.776073307471;184.386690342002
81099;81;810990105;H;1;706.238953197345;225.534006847989;947.209107386186;668.836892741639;392.949118841172;262.000189768511;201.443108361569
81100;81;811000000;Z;5;54.0;17.0;81.0;51.0;47.0;17.0;21.0
81101;81;811010000;Z;5;200.209662048193;58.8943206207812;319.707042150575;184.684480307563;99.3932884159748;59.8436449256882;31.460929049986
81102;81;811020000;Z;5;28.3458402580192;11.8824788804823;40.9965943056539;31.022491848385;34.5074169808266;19.2146312746488;46.185331317413
81104;81;811040000;Z;5;159.750001275012;54.7123996665922;285.903887484859;217.59180913804;164.190171575822;113.866177666135;107.108222504694
81105;81;811050101;H;1;528.360150715189;97.3303949988027;321.817784137715;203.711603636039;58.6806837988982;26.0204299409553;23.6060694280366
81105;81;811050102;H;1;516.629305769944;82.023198941585;347.239001005408;190.085559222555;141.865877277244;61.1996197210124;66.3400662722313
81105;81;811050103;H;1;729.17852683213;102.60322186771;468.187083753706;185.314201029601;92.0933936103382;73.1927226942892;39.3556773534591
81105;81;811050104;A;3;35.0556730650017;3.02265830728475;28.839321878141;15.1132915364238;17.9498595590056;9.66849097444888;4.63072712897429
81105;81;811050105;H;1;473.021855068669;125.452441442089;432.879919370449;256.417668368278;141.171110724356;55.8144970347712;49.7921366618979
81105;81;811050106;H;1;575.114860757685;152.067919932195;517.80127520521;269.66717460554;190.339991034524;132.556962549475;55.4786476030711
81105;81;811050107;H;1;479.24200334301;174.663120997053;593.601165421924;379.285153908484;126.462291198021;100.239130044967;69.4939939056517
81106;81;811060000;Z;5;51.4176000000005;14.8320000000001;99.8688000000004;87.0144000000003;90.9696000000001;48.4512;63.2832
81109;81;811090000;Z;5;118.0;18.0;102.0;54.0;41.0;24.0;9.0
81112;81;811120000;Z;5;124.323467230435;44.3816067653282;179.49894291755;131.172304439748;104.543340380551;67.0655391120515;55.2304439746306
81114;81;811140000;Z;5;72.0720177041679;22.197282193823;117.790531414023;89.3571883248754;46.0418592330356;35.0734924888636;14.0133454808618
81115;81;811150000;Z;5;489.331347741458;103.213955368886;303.85102811214;148.430394695198;58.1729735570353;48.1372785012826;29.0864879442576
81116;81;811160000;Z;5;241.638795924363;108.577612483859;411.719199141383;265.454607108988;189.517169326284;153.308995308247;89.451788229363
81117;81;811170000;Z;5;150.580358356643;33.5734390450742;176.568007514828;107.651865772685;56.2222558304762;34.7749196508593;18.0007822094088
81118;81;811180000;Z;5;9.0;9.0;34.0;23.0;23.0;8.0;10.0
81119;81;811190000;Z;5;86.3798598209831;31.313143359598;121.118628660646;69.321190074072;33.2090211442274;21.0988724582451;15.1265251858068
81120;81;811200101;H;4;453.206993786387;68.9299800235042;557.433751494425;295.699624448656;189.80719136907;103.228822503299;75.9228765476278
81120;81;811200102;H;4;687.58891833789;160.899639490083;926.059296837515;634.452242438635;393.631685504008;226.769644425153;138.858945264741
81121;81;811210000;Z;5;76.541095890411;11.2260273972603;80.6232876712329;42.8630136986301;20.4109589041096;12.2465753424658;5.1027397260274
81123;81;811230000;Z;5;14.3010752688172;2.04301075268817;17.3655913978495;17.3655913978495;15.3225806451613;3.06451612903226;6.12903225806452
