IRIS;REG;DEP;UU2010;COM;TRIRIS;GRD_QUART;TYP_IRIS;LAB_IRIS;C17_MEN;C17_MENPSEUL;C17_MENSFAM;C17_MENFAM;C17_FAM;C17_COUPAENF;C17_FAMMONO;C17_COUPSENF;C17_NE24F0;C17_NE24F1;C17_NE24F2;C17_NE24F3;C17_NE24F4P
260570103;84;26;26501;26057;ZZZZZZ;2605701;H;Z;936;261;10;665;671;234;126;311;348;116;120;69;18
260570104;84;26;26501;26057;ZZZZZZ;2605701;H;Z;851;176;12;663;667;275;76;316;368;115;130;38;15
260580101;84;26;00651;26058;260011;2605801;H;1;1603;445;25;1133;1145;496;180;469;538;234;229;106;37
260580102;84;26;00651;26058;260011;2605801;H;1;1570;795;33;742;746;323;181;242;277;262;124;65;17
260580201;84;26;00651;26058;260011;2605802;H;1;944;415;12;516;519;152;113;254;293;113;71;35;7
260580202;84;26;00651;26058;260011;2605802;H;1;1009;389;7;614;614;217;129;268;323;133;96;49;13
260580203;84;26;00651;26058;260021;2605802;H;1;1193;448;19;726;729;268;151;309;347;169;138;63;11
260580301;84;26;00651;26058;260021;2605803;D;3;457;125;4;328;331;151;22;158;176;48;66;30;10
260580302;84;26;00651;26058;260021;2605803;H;1;1394;451;7;936;943;365;84;494;556;142;194;34;16
260580303;84;26;00651;26058;260021;2605803;H;1;833;159;12;661;661;271;116;274;351;114;121;54;22
260590000;84;26;26000;26059;ZZZZZZ;2605900;Z;5;116;37;5;74;74;26;11;37;53;11;5;5;0
260600000;84;26;26000;26060;ZZZZZZ;2606000;Z;5;70;25;0;45;45;15;5;25;25;10;5;0;5
260610000;84;26;26000;26061;ZZZZZZ;2606100;Z;5;235;60;5;170;170;75;5;90;100;20;35;15;0
260620000;84;26;26000;26062;ZZZZZZ;2606200;Z;5;15;5;0;10;10;5;0;5;5;0;5;0;0
260630000;84;26;26101;26063;ZZZZZZ;2606300;Z;5;1100;437;20;643;647;194;101;353;403;110;104;20;10
260640101;84;26;26201;26064;ZZZZZZ;2606401;H;4;1421;360;15;1046;1056;455;120;480;515;235;225;70;10
260640102;84;26;26201;26064;ZZZZZZ;2606401;H;4;1486;470;30;986;1011;410;165;435;485;220;235;65;5
260650000;84;26;26000;26065;ZZZZZZ;2606500;Z;5;304;88;0;216;216;98;20;98;108;39;49;15;5
260660000;84;26;26000;26066;ZZZZZZ;2606600;Z;5;20;10;0;10;10;5;0;5;10;0;0;0;0
260670000;84;26;26000;26067;ZZZZZZ;2606700;Z;5;27;14;0;14;14;5;0;9;9;5;0;0;0
260680000;84;26;26000;26068;ZZZZZZ;2606800;Z;5;85;15;0;70;70;30;10;30;35;15;15;5;0
260690000;84;26;26000;26069;ZZZZZZ;2606900;Z;5;55;15;5;35;35;5;10;20;25;0;10;0;0
260700000;84;26;26000;26070;ZZZZZZ;2607000;Z;5;262;87;10;165;175;57;26;93;103;46;10;15;0
260710000;84;26;26000;26071;ZZZZZZ;2607100;Z;5;448;115;5;329;334;139;45;149;179;60;65;25;5
260720000;84;26;26000;26072;ZZZZZZ;2607200;Z;5;493;100;5;388;388;199;30;159;169;65;120;30;5
260730000;84;26;26000;26073;ZZZZZZ;2607300;Z;5;119;36;0;83;83;36;0;47;62;10;5;5;0
260740000;84;26;26000;26074;ZZZZZZ;2607400;Z;5;350;125;5;220;220;70;25;125;130;40;30;20;0
260750000;84;26;26000;26075;ZZZZZZ;2607500;Z;5;15;0;0;15;15;5;0;10;10;0;5;0;0
260760000;84;26;26000;26076;ZZZZZZ;2607600;Z;5;19;10;10;0;0;0;0;0;0;0;0;0;0
260770000;84;26;26000;26077;ZZZZZZ;2607700;Z;5;355;67;5;283;288;142;25;121;141;50;68;24;5
260780000;84;26;26000;26078;ZZZZZZ;2607800;Z;5;339;84;5;251;251;108;34;108;118;34;64;25;10
260790000;84;26;26000;26079;ZZZZZZ;2607900;Z;5;550;130;5;415;415;227;24;164;174;87;121;19;14
260800000;84;26;26000;26080;ZZZZZZ;2608000;Z;5;13;4;0;9;9;4;0;4;4;4;0;0;0
260810000;84;26;26000;26081;ZZZZZZ;2608100;Z;5;230;50;0;180;180;80;10;90;100;25;45;10;0
260820000;84;26;26000;26082;ZZZZZZ;2608200;Z;5;46;15;0;31;31;10;5;15;26;0;5;0;0
260830000;84;26;26000;26083;ZZZZZZ;2608300;Z;5;667;228;5;435;440;192;61;187;192;111;86;35;15
260840000;84;26;26000;26084;ZZZZZZ;2608400;Z;5;1557;357;20;1180;1185;555;99;531;570;248;283;69;15
260850000;84;26;26108;26085;ZZZZZZ;2608500;Z;5;1165;340;10;815;815;350;85;380;400;170;170;60;15
260860000;84;26;26000;26086;ZZZZZZ;2608600;Z;5;370;175;15;180;180;40;35;105;115;35;30;0;0
260870000;84;26;26000;26087;ZZZZZZ;2608700;Z;5;516;115;0;401;401;194;56;151;166;61;127;31;15
260880000;84;26;26501;26088;ZZZZZZ;2608800;Z;5;2239;501;20;1718;1728;805;167;756;849;363;403;93;20
260890000;84;26;26000;26089;ZZZZZZ;2608900;Z;5;23;9;0;14;14;5;0;9;9;0;5;0;0
260900000;84;26;26000;26090;ZZZZZZ;2609000;Z;5;14;5;0;9;9;5;0;5;5;0;0;0;5
260910000;84;26;26000;26091;ZZZZZZ;2609100;Z;5;20;5;0;15;15;5;0;10;10;0;5;0;0
260920000;84;26;26000;26092;ZZZZZZ;2609200;Z;5;275;63;5;208;208;111;24;72;82;43;63;10;10
260930000;84;26;26000;26093;ZZZZZZ;2609300;Z;5;235;55;0;180;185;55;35;95;110;35;20;20;0
260940000;84;26;26000;26094;ZZZZZZ;2609400;Z;5;356;102;5;249;249;123;15;111;116;55;59;15;5
260950000;84;26;26000;26095;ZZZZZZ;2609500;Z;5;378;113;10;255;255;104;10;140;145;49;43;14;4
260960000;84;26;26000;26096;ZZZZZZ;2609600;Z;5;800;195;20;585;585;290;40;255;265;130;135;45;10
260970000;84;26;26303;26097;ZZZZZZ;2609700;Z;5;283;84;5;194;194;77;15;102;112;30;43;5;4
260980000;84;26;26000;26098;ZZZZZZ;2609800;Z;5;74;10;5;59;59;29;10;20;34;15;10;0;0
260990000;84;26;26000;26099;ZZZZZZ;2609900;Z;5;235;56;5;174;174;79;15;80;105;30;30;5;5
261000000;84;26;26000;26100;ZZZZZZ;2610000;Z;5;174;42;0;132;132;52;33;47;56;38;28;9;0
261010000;84;26;26000;26101;ZZZZZZ;2610100;Z;5;63;21;0;42;42;16;16;10;16;10;16;0;0
261020000;84;26;26000;26102;ZZZZZZ;2610200;Z;5;59;15;5;39;39;20;0;20;20;10;5;5;0
261030000;84;26;26000;26103;ZZZZZZ;2610300;Z;5;206;72;0;134;139;53;10;77;77;29;29;5;0
261040000;84;26;26000;26104;ZZZZZZ;2610400;Z;5;41;20;0;20;20;5;0;15;15;0;5;0;0
261050000;84;26;26000;26105;ZZZZZZ;2610500;Z;5;50;25;5;20;20;5;0;15;15;5;0;0;0
261060000;84;26;26000;26106;ZZZZZZ;2610600;Z;5;430;105;25;300;300;155;35;110;115;80;80;20;5
261070000;84;26;26000;26107;ZZZZZZ;2610700;Z;5;235;66;0;169;169;77;20;72;87;26;31;20;5
261080101;84;26;26302;26108;ZZZZZZ;2610801;H;4;1078;404;25;650;650;256;94;300;340;162;103;30;15
261080102;84;26;26302;26108;ZZZZZZ;2610801;H;4;1452;788;54;610;610;192;177;241;261;172;123;54;0
261080103;84;26;26302;26108;ZZZZZZ;2610801;H;4;1570;581;20;970;985;335;182;468;556;182;172;64;10
261100000;84;26;00457;26110;ZZZZZZ;2611000;Z;5;254;42;10;201;206;107;21;78;89;52;51;10;5
261110000;84;26;26000;26111;ZZZZZZ;2611100;Z;5;45;10;0;35;35;5;5;25;25;10;0;0;0
261120000;84;26;26000;26112;ZZZZZZ;2611200;Z;5;87;32;0;55;55;23;9;23;32;14;5;5;0
261130000;84;26;26110;26113;ZZZZZZ;2611300;Z;5;2284;992;71;1221;1226;410;232;583;629;303;210;69;15
261140000;84;26;26109;26114;ZZZZZZ;2611400;Z;5;1567;720;10;837;842;234;92;516;579;107;117;24;15
261150000;84;26;26000;26115;ZZZZZZ;2611500;Z;5;253;57;10;186;186;75;35;76;86;25;65;5;5
261160000;84;26;26111;26116;ZZZZZZ;2611600;Z;5;2354;666;53;1635;1645;727;278;641;725;377;335;168;40
261170000;84;26;26000;26117;ZZZZZZ;2611700;Z;5;27;9;0;18;18;9;5;5;9;5;0;0;5
261180000;84;26;26000;26118;ZZZZZZ;2611800;Z;5;620;160;5;455;455;225;45;185;215;100;85;45;10
261190000;84;26;26000;26119;ZZZZZZ;2611900;Z;5;360;115;5;240;240;120;35;85;105;55;50;25;5
261210000;84;26;26000;26121;ZZZZZZ;2612100;Z;5;447;98;5;343;348;153;31;165;195;61;71;15;5
261220000;84;26;26000;26122;ZZZZZZ;2612200;Z;5;78;34;0;44;44;20;0;24;24;10;5;5;0
261230000;84;26;26000;26123;ZZZZZZ;2612300;Z;5;16;10;0;5;5;0;0;5;5;0;0;0;0
261240000;84;26;00651;26124;ZZZZZZ;2612400;Z;5;2175;480;50;1645;1650;780;190;680;745;345;405;125;30
261250000;84;26;26302;26125;ZZZZZZ;2612500;Z;5;524;106;5;414;414;192;38;183;216;63;91;38;5
261260000;84;26;26000;26126;ZZZZZZ;2612600;Z;5;41;15;0;26;26;5;0;20;20;0;5;0;0
261270000;84;26;26000;26127;ZZZZZZ;2612700;Z;5;56;20;0;36;36;5;5;25;25;0;10;0;0
261280000;84;26;26000;26128;ZZZZZZ;2612800;Z;5;26;5;0;21;21;5;0;15;15;0;5;0;0
261290000;84;26;26000;26129;ZZZZZZ;2612900;Z;5;381;72;10;299;299;162;25;111;111;80;79;29;0
261300000;84;26;26000;26130;ZZZZZZ;2613000;Z;5;17;11;0;6;6;0;0;6;6;0;0;0;0
261310000;84;26;26000;26131;ZZZZZZ;2613100;Z;5;72;26;0;47;47;5;10;31;31;5;10;0;0
261330000;84;26;26000;26133;ZZZZZZ;2613300;Z;5;76;20;0;56;56;20;5;31;41;0;15;0;0
261340000;84;26;26000;26134;ZZZZZZ;2613400;Z;5;35;15;0;20;20;5;5;10;15;0;0;5;0
261350000;84;26;26000;26135;ZZZZZZ;2613500;Z;5;66;22;0;44;44;16;0;27;33;5;5;0;0
261360000;84;26;26000;26136;ZZZZZZ;2613600;Z;5;27;11;0;16;16;5;0;11;11;0;0;0;5
261370000;84;26;26000;26137;ZZZZZZ;2613700;Z;5;82;26;0;56;61;15;10;36;36;10;10;5;0
261380000;84;26;26000;26138;ZZZZZZ;2613800;Z;5;489;130;11;349;349;120;42;186;208;69;52;10;10
261390000;84;26;26501;26139;ZZZZZZ;2613900;Z;5;910;205;15;690;695;270;35;390;410;110;130;35;10
