INSEE_COM;DEP;IRIS;TYP_IRIS;LAB_IRIS;C19_MEN;C19_MENPSEUL;C19_MENSFAM;C19_MENFAM;C19_FAM;C19_COUPAENF;C19_FAMMONO;C19_COUPSENF;C19_NE24F0;C19_NE24F1;C19_NE24F2;C19_NE24F3;C19_NE24F4P
39205;39;392050000;Z;5;156.22691292876;30.2374670184697;0.0;125.98944591029;125.98944591029;55.4353562005277;20.1583113456464;50.3957783641161;55.4353562005277;30.2374670184697;30.2374670184697;5.03957783641161;5.03957783641161
39209;39;392090000;Z;5;150.0;55.0;0.0;95.0;95.0;40.0;10.0;45.0;45.0;25.0;15.0;5.0;5.0
39210;39;392100000;Z;5;225.870074448658;50.6662517717182;10.0003019270367;165.203520749903;165.203520749903;79.6387249741086;10.0664465618582;75.4983492139362;90.4991287895006;40.0003327024518;29.7697262442442;4.93433301370628;0.0
39217;39;392170000;Z;5;244.624372001066;56.1833782867139;4.98929256622178;183.45170114813;183.45170114813;67.2783034097537;10.2837737648958;105.889623973481;115.58061239568;30.240944029783;33.1994677020862;4.43067702058112;0.0
39219;39;392190000;Z;5;252.784626389876;53.0136579577137;0.0;199.770968432162;204.804801335199;96.0008699556422;41.2423641795198;67.5615672000374;83.1935007742875;56.4269279500999;45.392138973993;14.92921264674;4.8630209900791
39220;39;392200000;Z;5;152.377262773628;25.2682952587707;0.0;127.108967514857;127.108967514857;66.2813293509464;5.06896984699258;55.7586683169183;60.8429953454308;25.4062779610422;25.4986536842381;10.2303622259159;5.13067829823027
39227;39;392270000;Z;5;91.8176381505551;29.8811891627141;0.0;61.936448987841;61.936448987841;13.6981148614864;14.374590834512;33.8637432918426;33.8637432918426;14.374590834512;9.26399106906381;4.43412379242256;0.0
39228;39;392280000;Z;5;499.755079556282;179.467092954907;0.0;320.287986601375;320.287986601375;136.621513226006;45.8632950356807;137.803178339688;153.067354149359;71.2165073991205;70.8622291823782;20.1322132093137;5.00968266120387
39232;39;392320000;Z;5;192.705444833715;47.2209410806229;10.232856514638;135.251647238454;135.251647238454;68.7380798933067;5.11642825731902;61.3971390878283;71.3757857483588;25.0737215783801;34.0576320616313;4.74450785008387;0.0
39233;39;392330000;Z;5;975.205037206859;300.923739252877;5.31553739151962;668.965760562463;674.11073761313;286.703134279358;95.2236071410452;292.183996192727;365.969942343615;147.630601005196;109.282336216221;35.9592108735706;15.2686471745278
39235;39;392350000;Z;5;550.883531712322;224.525674010686;0.0;326.357857701636;326.357857701636;106.63616787519;69.4537235247914;150.267966301655;169.95830286497;54.7737046711008;82.5449576457639;19.0808925198013;0.0
39246;39;392460000;Z;5;175.0;55.0;0.0;120.0;120.0;50.0;25.0;45.0;45.0;25.0;30.0;20.0;0.0
39250;39;392500000;Z;5;80.9411764705882;25.2941176470588;0.0;55.6470588235294;55.6470588235294;30.3529411764706;5.05882352941176;20.2352941176471;25.2941176470588;15.1764705882353;15.1764705882353;0.0;0.0
39251;39;392510000;Z;5;207.906256929367;72.6207375036508;5.09053413996933;130.194985285747;130.194985285747;59.1154599398137;4.9025815263319;66.1769438196013;71.1726178115443;24.9783699597149;14.7077445789957;19.3362529354921;0.0
39258;39;392580000;Z;5;268.120778907127;81.66891349292;0.0;186.451865414207;186.451865414207;85.116066956554;5.04063458534149;96.2951638723116;106.321209563245;35.2704830837343;29.9788086297127;14.881364137515;0.0
