IRIS;DEP;UU2010;COM;TRIRIS;GRD_QUART;TYP_IRIS;P17_POP;P17_POP0014;P17_POP1529;P17_POP3044;P17_POP4559;P17_POP6074;P17_POP75P;P17_POP0019;P17_POP2064;P17_POP65P;C17_POP15P;C17_POP15P_CS1;C17_POP15P_CS2;C17_POP15P_CS3;C17_POP15P_CS4;C17_POP15P_CS5;C17_POP15P_CS6;C17_POP15P_CS7;C17_POP15P_CS8;P17_POP_FR;P17_POP_ETR;P17_POP_IMM;P17_PMEN;P17_PHORMEN
2A0080000;2A;2A000;2A008;ZZZZZZ;2A00800;Z;1705;215;164;246;389;434;258;273;890;542;1490;8;89;121;218;198;98;568;190;1649;56;76;1560;145
2A0110000;2A;2A000;2A011;ZZZZZZ;2A01100;Z;49;8;5;8;10;13;6;8;24;17;41;0;1;2;6;8;1;18;7;45;4;4;49;0
2A0140000;2A;2A000;2A014;ZZZZZZ;2A01400;Z;68;6;10;11;16;9;16;9;37;22;62;0;0;6;12;8;6;18;12;63;5;5;68;0
2A0170000;2A;2A105;2A017;ZZZZZZ;2A01700;Z;1825;292;258;364;438;346;127;408;1078;339;1533;17;113;94;230;297;162;400;219;1752;73;101;1825;0
2A0180000;2A;2A000;2A018;ZZZZZZ;2A01800;Z;156;19;21;23;47;38;8;28;97;31;137;2;8;7;13;33;20;30;24;141;15;15;156;0
2A0190000;2A;2A000;2A019;ZZZZZZ;2A01900;Z;54;4;2;9;5;22;13;4;22;28;50;3;2;2;0;6;5;25;8;54;0;0;54;0
2A0210000;2A;2A000;2A021;ZZZZZZ;2A02100;Z;76;3;11;7;18;11;26;7;34;35;73;2;0;1;8;12;5;36;9;76;0;2;76;0
2A0220000;2A;2A000;2A022;ZZZZZZ;2A02200;Z;83;3;13;8;17;27;15;4;48;31;80;6;3;4;7;9;7;33;9;82;1;1;83;0
2A0240000;2A;2A000;2A024;ZZZZZZ;2A02400;Z;187;15;16;34;43;50;29;18;111;58;172;4;12;4;13;30;31;57;21;155;32;34;187;0
2A0260000;2A;2A000;2A026;ZZZZZZ;2A02600;Z;184;26;32;32;38;34;22;41;100;43;158;7;8;3;24;20;20;50;26;178;6;4;184;0
2A0270000;2A;2A000;2A027;ZZZZZZ;2A02700;Z;54;4;7;6;15;16;6;6;29;19;50;0;4;1;3;7;7;15;13;54;0;1;54;0
2A0280000;2A;2A000;2A028;ZZZZZZ;2A02800;Z;137;14;18;26;22;32;26;21;73;43;123;3;4;2;7;24;19;43;23;122;15;15;137;0
2A0310000;2A;2A000;2A031;ZZZZZZ;2A03100;Z;533;58;56;70;125;115;110;68;288;177;475;22;26;26;42;70;44;157;87;514;19;14;533;0
2A0320000;2A;2A103;2A032;ZZZZZZ;2A03200;Z;3983;624;530;779;972;741;338;796;2368;819;3359;14;217;247;556;670;321;865;468;3779;204;286;3981;2
2A0350000;2A;2A000;2A035;ZZZZZZ;2A03500;Z;165;17;15;37;44;36;16;25;101;39;148;1;21;8;12;29;14;39;24;157;8;9;165;0
2A0380000;2A;2A000;2A038;ZZZZZZ;2A03800;Z;46;4;3;10;13;8;7;7;26;13;42;0;2;5;8;3;0;17;6;46;0;0;46;0
2A0400000;2A;2A000;2A040;ZZZZZZ;2A04000;Z;396;39;58;59;87;94;59;58;224;114;357;6;22;15;52;61;23;102;76;392;4;11;396;0
2A0410000;2A;2A101;2A041;ZZZZZZ;2A04100;Z;3118;484;487;551;692;562;343;645;1802;671;2633;37;267;101;213;528;265;630;594;2805;313;389;3055;63
2A0480000;2A;2A000;2A048;ZZZZZZ;2A04800;Z;523;72;51;80;130;140;49;89;294;139;451;3;47;24;57;73;37;156;53;486;37;45;523;0
2A0560000;2A;2A000;2A056;ZZZZZZ;2A05600;Z;110;12;15;19;21;31;12;16;59;35;98;2;4;1;11;17;15;40;8;109;1;5;110;0
2A0600000;2A;2A000;2A060;ZZZZZZ;2A06000;Z;65;10;8;10;15;14;8;11;39;15;55;5;0;8;10;10;7;12;3;64;1;2;65;0
2A0610000;2A;2A000;2A061;ZZZZZZ;2A06100;Z;103;10;10;13;16;35;19;12;52;39;93;1;6;6;7;13;6;41;13;103;0;4;103;0
2A0620000;2A;2A000;2A062;ZZZZZZ;2A06200;Z;393;50;69;67;100;66;41;70;241;82;343;4;24;19;40;67;59;84;46;377;16;24;393;0
2A0640000;2A;2A000;2A064;ZZZZZZ;2A06400;Z;32;0;0;3;9;10;10;0;14;18;32;1;1;0;3;4;1;15;7;32;0;0;32;0
2A0650000;2A;2A000;2A065;ZZZZZZ;2A06500;Z;1325;168;163;248;300;277;169;235;744;346;1157;23;108;40;104;185;97;353;247;1168;157;154;1309;16
2A0660000;2A;2A000;2A066;ZZZZZZ;2A06600;Z;55;3;9;6;10;15;13;3;29;23;52;1;1;2;7;7;3;23;9;55;0;0;55;0
2A0700000;2A;2A000;2A070;ZZZZZZ;2A07000;Z;398;47;36;54;80;122;59;54;204;140;351;8;15;11;37;47;29;149;55;380;18;25;398;0
2A0710000;2A;2A000;2A071;ZZZZZZ;2A07100;Z;213;26;21;50;43;44;29;37;123;53;187;10;13;5;15;34;22;56;31;179;34;28;213;0
2A0850000;2A;2A000;2A085;ZZZZZZ;2A08500;Z;1444;222;195;262;306;262;197;296;784;364;1222;5;62;96;204;230;116;369;140;1399;45;65;1372;72
2A0890000;2A;2A000;2A089;ZZZZZZ;2A08900;Z;133;3;8;17;31;35;39;5;62;66;130;2;8;13;13;13;5;51;25;133;0;0;133;0
2A0900000;2A;2A000;2A090;ZZZZZZ;2A09000;Z;695;54;70;94;140;216;121;73;354;268;641;10;52;32;58;94;38;283;74;674;21;36;695;0
2A0910000;2A;2A000;2A091;ZZZZZZ;2A09100;Z;169;8;22;18;32;53;37;15;77;77;161;7;6;4;16;22;13;71;23;166;3;5;169;0
2A0920000;2A;2A000;2A092;ZZZZZZ;2A09200;Z;1100;147;125;205;204;272;147;195;579;326;953;2;81;49;75;150;92;344;160;931;169;194;1100;0
2A0940000;2A;2A000;2A094;ZZZZZZ;2A09400;Z;72;9;5;9;11;13;25;10;28;34;63;2;1;1;6;12;1;35;5;66;6;6;72;0
2A0980000;2A;2A000;2A098;ZZZZZZ;2A09800;Z;728;83;60;92;159;217;117;104;361;263;645;3;63;28;48;102;35;266;100;683;45;51;728;0
2A0990000;2A;2A000;2A099;ZZZZZZ;2A09900;Z;273;39;27;50;42;64;51;47;132;94;234;9;13;7;18;23;35;75;53;263;10;14;273;0
2A1000000;2A;2A000;2A100;ZZZZZZ;2A10000;Z;63;5;1;9;11;17;20;5;26;32;58;3;5;1;5;8;4;31;3;59;4;2;63;0
2A1030000;2A;2A000;2A103;ZZZZZZ;2A10300;Z;2009;318;293;311;509;405;173;435;1154;420;1691;18;93;113;250;298;179;425;314;1963;46;86;1985;24
2A1040000;2A;2A000;2A104;ZZZZZZ;2A10400;Z;1179;204;156;234;295;197;93;264;710;205;975;15;61;78;184;165;89;236;148;1143;36;72;1179;0
2A1080000;2A;2A000;2A108;ZZZZZZ;2A10800;Z;219;17;25;26;40;64;47;26;101;92;202;5;13;1;15;19;12;93;44;212;7;8;219;0
2A1140000;2A;2A000;2A114;ZZZZZZ;2A11400;Z;1446;270;186;308;312;241;128;339;827;280;1176;26;89;50;108;257;139;296;211;1227;219;232;1446;0
2A1150000;2A;2A000;2A115;ZZZZZZ;2A11500;Z;152;22;21;27;42;23;16;31;91;29;130;4;12;4;13;36;10;31;18;144;8;12;152;0
2A1170000;2A;2A000;2A117;ZZZZZZ;2A11700;Z;81;4;9;9;14;24;21;7;35;39;77;3;1;5;8;7;1;43;9;81;0;0;81;0
2A1180000;2A;2A000;2A118;ZZZZZZ;2A11800;Z;209;28;23;39;48;50;21;35;119;54;181;5;14;4;19;36;27;53;24;199;10;16;209;0
2A1190000;2A;2A000;2A119;ZZZZZZ;2A11900;Z;122;7;13;14;31;24;32;11;61;51;115;4;7;4;12;13;12;37;26;120;2;2;122;0
2A1270000;2A;2A000;2A127;ZZZZZZ;2A12700;Z;86;11;9;11;25;22;8;16;45;25;75;3;4;7;6;15;6;22;12;82;4;6;86;0
2A1280000;2A;2A000;2A128;ZZZZZZ;2A12800;Z;90;14;8;11;16;20;19;16;39;35;76;3;3;4;9;10;6;37;3;89;1;1;90;0
2A1290000;2A;2A000;2A129;ZZZZZZ;2A12900;Z;43;7;2;7;8;10;9;8;18;17;36;1;1;4;3;2;1;17;7;43;0;0;43;0
2A1300000;2A;2A000;2A130;ZZZZZZ;2A13000;Z;3124;358;410;601;680;730;343;477;1796;851;2766;12;216;208;425;460;202;832;411;2968;156;195;3124;0
2A1310000;2A;2A000;2A131;ZZZZZZ;2A13100;Z;165;6;15;15;34;46;49;12;70;83;159;4;2;7;9;24;8;82;23;164;1;6;165;0
2A1320000;2A;2A000;2A132;ZZZZZZ;2A13200;Z;145;9;15;18;43;36;24;13;84;48;136;0;10;8;13;23;7;54;21;141;4;12;145;0
2A1330000;2A;2A000;2A133;ZZZZZZ;2A13300;Z;148;22;11;25;26;46;18;26;67;55;126;9;7;8;14;14;5;41;29;146;2;2;148;0
2A1390000;2A;2A000;2A139;ZZZZZZ;2A13900;Z;1735;313;299;404;333;257;128;390;1065;281;1422;9;140;92;155;273;214;294;244;1430;305;337;1735;0
2A1410000;2A;2A000;2A141;ZZZZZZ;2A14100;Z;121;7;19;10;25;44;16;11;68;43;114;8;4;10;10;19;12;45;8;118;3;6;121;0
2A1420000;2A;2A000;2A142;ZZZZZZ;2A14200;Z;687;82;87;98;155;156;110;114;357;216;605;13;41;13;51;108;56;211;112;650;37;43;659;28
2A1440000;2A;2A000;2A144;ZZZZZZ;2A14400;Z;103;5;6;12;31;27;22;6;58;39;98;3;6;4;7;15;6;38;19;103;0;0;103;0
2A1460000;2A;2A000;2A146;ZZZZZZ;2A14600;Z;53;7;0;6;11;16;13;7;18;28;46;1;0;0;6;8;2;24;5;52;1;2;53;0
2A1540000;2A;2A000;2A154;ZZZZZZ;2A15400;Z;110;12;7;18;12;46;15;13;49;48;98;0;5;5;9;16;3;46;13;108;2;3;110;0
2A1580000;2A;2A000;2A158;ZZZZZZ;2A15800;Z;29;0;1;1;3;16;8;1;10;18;29;0;1;1;0;3;1;21;2;29;0;0;29;0
2A1600000;2A;2A000;2A160;ZZZZZZ;2A16000;Z;252;17;36;35;48;58;58;27;126;99;235;3;15;8;30;25;17;100;37;244;8;7;252;0
2A1630000;2A;2A000;2A163;ZZZZZZ;2A16300;Z;528;67;70;99;92;116;84;90;274;164;461;9;30;19;40;92;32;180;57;511;17;22;528;0
2A1740000;2A;2A000;2A174;ZZZZZZ;2A17400;Z;97;13;9;12;24;21;18;14;52;31;84;2;6;5;10;10;7;34;8;95;2;3;97;0
