IRIS;REG;DEP;UU2010;COM;TRIRIS;GRD_QUART;TYP_IRIS;LAB_IRIS;C17_MEN;C17_MENPSEUL;C17_MENSFAM;C17_MENFAM;C17_FAM;C17_COUPAENF;C17_FAMMONO;C17_COUPSENF;C17_NE24F0;C17_NE24F1;C17_NE24F2;C17_NE24F3;C17_NE24F4P
2A2850000;94;2A;2A000;2A285;ZZZZZZ;2A28500;Z;5;46;19;1;26;26;2;2;22;24;0;2;0;0
2A2880000;94;2A;2A000;2A288;ZZZZZZ;2A28800;Z;5;617;201;17;399;408;172;71;165;213;102;78;16;0
2A2950000;94;2A;2A000;2A295;ZZZZZZ;2A29500;Z;5;51;16;0;35;35;12;4;18;20;10;3;0;1
2A3000000;94;2A;2A000;2A300;ZZZZZZ;2A30000;Z;5;505;173;22;310;317;135;44;138;169;77;53;16;2
2A3080000;94;2A;2A000;2A308;ZZZZZZ;2A30800;Z;5;224;94;9;121;124;36;20;69;81;26;16;2;0
2A3100000;94;2A;2A000;2A310;ZZZZZZ;2A31000;Z;5;44;14;0;30;32;9;8;15;19;6;4;2;1
2A3120000;94;2A;2A000;2A312;ZZZZZZ;2A31200;Z;5;193;57;9;127;129;56;26;46;72;32;18;7;0
2A3220000;94;2A;2A000;2A322;ZZZZZZ;2A32200;Z;5;53;24;6;24;26;7;7;11;13;5;5;2;0
2A3230000;94;2A;2A000;2A323;ZZZZZZ;2A32300;Z;5;163;52;3;108;113;47;20;46;62;30;17;3;1
2A3240000;94;2A;2A000;2A324;ZZZZZZ;2A32400;Z;5;207;91;7;109;110;42;14;54;70;22;14;4;0
2A3260000;94;2A;2A000;2A326;ZZZZZZ;2A32600;Z;5;77;40;3;33;33;8;4;22;25;6;3;0;0
2A3300000;94;2A;2A000;2A330;ZZZZZZ;2A33000;Z;5;227;82;5;140;145;56;31;58;73;34;34;3;1
2A3310000;94;2A;2A000;2A331;ZZZZZZ;2A33100;Z;5;38;22;4;12;13;3;3;8;9;3;0;0;1
2A3360000;94;2A;2A000;2A336;ZZZZZZ;2A33600;Z;5;161;29;3;129;132;70;19;43;59;25;36;9;3
2A3450000;94;2A;2A000;2A345;ZZZZZZ;2A34500;Z;5;233;65;9;159;161;84;23;54;71;36;41;10;3
2A3480000;94;2A;2A000;2A348;ZZZZZZ;2A34800;Z;5;425;165;14;246;253;103;30;120;147;61;37;8;1
2A3490000;94;2A;2A104;2A349;ZZZZZZ;2A34900;Z;5;347;97;6;244;248;118;32;98;124;66;45;11;2
2A3510000;94;2A;2A000;2A351;ZZZZZZ;2A35100;Z;5;156;37;6;112;114;53;7;54;67;31;15;1;0
2A3570000;94;2A;2A000;2A357;ZZZZZZ;2A35700;Z;5;22;12;0;9;10;6;3;2;3;3;3;0;0
2A3580000;94;2A;2A000;2A358;ZZZZZZ;2A35800;Z;5;30;11;2;17;17;6;3;8;11;4;2;0;0
2A3590000;94;2A;2A000;2A359;ZZZZZZ;2A35900;Z;5;121;58;9;54;55;15;11;29;39;7;7;2;0
2A3600000;94;2A;2A000;2A360;ZZZZZZ;2A36000;Z;5;69;27;2;40;40;12;6;22;32;7;1;0;0
2A3620000;94;2A;2A000;2A362;ZZZZZZ;2A36200;Z;5;1202;384;17;801;813;341;124;348;414;180;161;49;9
2A3630000;94;2A;2A000;2A363;ZZZZZZ;2A36300;Z;5;30;14;1;14;15;4;4;7;14;0;1;0;0
