IRIS;REG;DEP;UU2010;COM;TRIRIS;GRD_QUART;TYP_IRIS;LAB_IRIS;P17_NSCOL15P_DIPLMIN;P17_NSCOL15P_BEPC;P17_NSCOL15P_CAPBEP;P17_NSCOL15P_BAC;P17_NSCOL15P_SUP2;P17_NSCOL15P_SUP34;P17_NSCOL15P_SUP5
742810202;84;74;74501;74281;740221;7428102;H;1;552;194;765;550;328;379;367
742810203;84;74;74501;74281;740221;7428102;H;1;796;194;863;601;467;429;350
742810204;84;74;74501;74281;740221;7428102;H;1;501;100;442;253;94;104;69
742810205;84;74;74501;74281;740211;7428102;H;1;629;138;656;475;260;241;187
742810206;84;74;74501;74281;740211;7428102;H;1;517;92;572;372;184;132;80
742820000;84;74;74000;74282;ZZZZZZ;7428200;Z;5;847;243;1650;1103;1128;850;853
742830000;84;74;74000;74283;ZZZZZZ;7428300;Z;5;92;22;243;168;134;69;57
742840000;84;74;74000;74284;ZZZZZZ;7428400;Z;5;332;36;262;174;91;70;32
742850000;84;74;74000;74285;ZZZZZZ;7428500;Z;5;44;11;84;75;36;29;26
742860000;84;74;74000;74286;ZZZZZZ;7428600;Z;5;142;30;190;135;73;55;30
742870000;84;74;74000;74287;ZZZZZZ;7428700;Z;5;148;47;181;101;90;53;23
742880000;84;74;74104;74288;ZZZZZZ;7428800;Z;5;482;149;932;681;431;338;352
742890000;84;74;74000;74289;ZZZZZZ;7428900;Z;5;295;69;550;396;262;157;84
742900000;84;74;74000;74290;ZZZZZZ;7429000;Z;5;34;10;85;73;47;34;33
742910000;84;74;74000;74291;ZZZZZZ;7429100;Z;5;63;10;80;43;25;16;10
742920000;84;74;74000;74292;ZZZZZZ;7429200;Z;5;96;15;237;135;123;57;48
742930000;84;74;74106;74293;ZZZZZZ;7429300;Z;5;367;107;643;533;264;351;384
742940000;84;74;74110;74294;ZZZZZZ;7429400;Z;5;67;38;153;115;78;59;44
742950000;84;74;74000;74295;ZZZZZZ;7429500;Z;5;40;13;64;43;20;18;18
742960000;84;74;74000;74296;ZZZZZZ;7429600;Z;5;91;17;158;105;90;70;94
742970000;84;74;74000;74297;ZZZZZZ;7429700;Z;5;50;24;139;75;63;43;29
742980101;84;74;00652;74298;ZZZZZZ;7429801;H;4;588;189;1087;768;525;442;516
742980102;84;74;00652;74298;ZZZZZZ;7429801;H;4;547;79;532;382;294;232;264
742990000;84;74;74202;74299;ZZZZZZ;7429900;Z;5;209;60;245;251;193;281;495
743010000;84;74;74000;74301;ZZZZZZ;7430100;Z;5;116;14;158;117;90;63;44
743020000;84;74;74205;74302;ZZZZZZ;7430200;Z;5;132;35;218;151;123;83;44
743030000;84;74;74206;74303;ZZZZZZ;7430300;Z;5;255;80;484;398;371;375;481
743040000;84;74;74203;74304;ZZZZZZ;7430400;Z;5;97;28;216;130;81;65;56
