IRIS;REG;DEP;UU2010;COM;TRIRIS;GRD_QUART;TYP_IRIS;LAB_IRIS;P17_ACT1564;P17_ACTOCC1564;P17_CHOM1564;P17_INACT1564;P17_ETUD1564;P17_RETR1564;P17_AINACT1564;C17_ACT1564_CS1;C17_ACT1564_CS2;C17_ACT1564_CS3;C17_ACT1564_CS4;C17_ACT1564_CS5;C17_ACT1564_CS6;P17_ACTOCC15P_TP;P17_SAL15P_TP;P17_SAL15P_CDI;P17_SAL15P_CDD;P17_SAL15P_INTERIM;P17_SAL15P_EMPAID;P17_SAL15P_APPR;P17_NSAL15P_INDEP;P17_NSAL15P_EMPLOY;P17_NSAL15P_AIDFAM;P17_ACTOCC15P_ILT1;P17_ACTOCC15P_ILT2P;P17_ACTOCC15P_ILT2;P17_ACTOCC15P_ILT3;P17_ACTOCC15P_ILT4;P17_ACTOCC15P_ILT5;C17_ACTOCC15P;C17_ACTOCC15P_PAS;C17_ACTOCC15P_MAR;C17_ACTOCC15P_VELO;C17_ACTOCC15P_2ROUESMOT;C17_ACTOCC15P_VOIT;C17_ACTOCC15P_TCOM
2A0990000;94;2A;2A000;2A099;ZZZZZZ;2A09900;Z;5;99;90;9;40;9;12;19;7;8;7;17;23;35;11;7;57;7;1;2;1;19;11;0;66;32;28;3;1;0;98;8;8;0;0;81;1
2A1000000;94;2A;2A000;2A100;ZZZZZZ;2A10000;Z;5;24;18;6;3;0;3;0;2;5;1;5;8;4;1;1;9;1;0;0;0;6;3;0;10;8;6;0;3;0;19;1;2;1;0;15;0
2A1030000;94;2A;2A000;2A103;ZZZZZZ;2A10300;Z;5;941;850;91;330;110;92;128;16;88;112;245;297;175;108;85;655;40;1;1;17;95;56;4;114;755;744;2;8;1;869;22;7;2;26;794;19
2A1040000;94;2A;2A000;2A104;ZZZZZZ;2A10400;Z;5;591;546;45;180;44;58;78;15;58;74;184;165;89;63;49;401;31;1;2;8;62;44;2;72;480;466;1;11;1;552;8;5;0;12;521;4
2A1080000;94;2A;2A000;2A108;ZZZZZZ;2A10800;Z;5;63;59;4;47;5;12;30;5;11;1;15;19;12;8;7;27;9;0;0;4;11;9;1;40;21;18;2;1;0;61;3;10;0;1;47;0
2A1140000;94;2A;2A000;2A114;ZZZZZZ;2A11400;Z;5;661;550;111;234;52;51;131;22;86;47;108;256;138;62;51;356;41;0;6;9;96;53;1;259;304;295;3;5;1;562;20;8;1;9;518;6
2A1150000;94;2A;2A000;2A115;ZZZZZZ;2A11500;Z;5;79;73;6;21;9;5;7;4;12;4;12;36;10;12;7;52;3;0;0;1;13;4;1;24;50;44;1;5;0;74;3;5;0;0;65;1
2A1170000;94;2A;2A000;2A117;ZZZZZZ;2A11700;Z;5;25;21;4;13;3;4;6;3;1;5;8;7;1;6;4;12;2;1;0;0;3;2;1;4;17;15;0;2;0;21;0;1;0;0;19;1
2A1180000;94;2A;2A000;2A118;ZZZZZZ;2A11800;Z;5;105;87;18;23;4;9;10;5;14;4;19;35;27;15;11;48;11;0;2;1;16;9;1;27;61;61;0;0;0;88;7;8;0;0;73;0
2A1190000;94;2A;2A000;2A119;ZZZZZZ;2A11900;Z;5;53;40;12;12;4;4;4;4;7;4;12;13;12;7;3;28;0;0;0;0;9;4;0;6;34;29;0;4;0;40;2;0;0;0;37;2
2A1270000;94;2A;2A000;2A127;ZZZZZZ;2A12700;Z;5;39;33;6;11;4;0;7;2;4;7;6;14;6;6;4;19;2;0;0;0;8;5;1;7;28;27;0;0;1;35;0;1;0;0;34;0
2A1280000;94;2A;2A000;2A128;ZZZZZZ;2A12800;Z;5;36;31;5;5;3;2;0;3;3;4;9;10;6;4;2;21;1;0;0;0;6;2;0;4;27;25;1;0;1;31;0;0;0;0;31;0
2A1290000;94;2A;2A000;2A129;ZZZZZZ;2A12900;Z;5;12;11;1;7;1;1;5;1;1;4;3;2;1;1;1;7;1;0;0;0;2;1;0;2;9;8;1;0;0;11;0;0;0;0;11;0
2A1300000;94;2A;2A000;2A130;ZZZZZZ;2A13000;Z;5;1488;1364;124;427;119;125;183;12;197;194;416;455;201;125;89;945;124;6;5;7;175;140;5;512;895;859;6;28;3;1408;34;39;7;48;1263;17
2A1310000;94;2A;2A000;2A131;ZZZZZZ;2A13100;Z;5;53;47;6;23;5;6;12;4;2;7;8;24;8;8;8;33;5;0;0;4;5;1;0;14;34;34;0;0;0;48;1;1;0;1;45;0
2A1320000;94;2A;2A000;2A132;ZZZZZZ;2A13200;Z;5;60;48;12;28;4;10;14;0;10;8;13;22;7;6;2;27;0;4;0;0;14;4;0;9;40;31;1;8;0;49;4;0;0;1;40;4
2A1330000;94;2A;2A000;2A133;ZZZZZZ;2A13300;Z;5;53;49;4;19;5;4;10;8;6;8;14;14;4;9;9;29;4;0;0;0;14;5;0;21;31;31;0;0;0;52;2;0;0;0;49;1
2A1390000;94;2A;2A000;2A139;ZZZZZZ;2A13900;Z;5;855;751;104;286;63;72;151;7;126;88;146;269;208;82;57;526;49;3;3;7;117;82;2;413;377;353;11;10;2;790;46;37;1;2;700;3
2A1410000;94;2A;2A000;2A141;ZZZZZZ;2A14100;Z;5;60;50;10;12;3;7;2;7;4;10;9;19;12;6;5;30;6;0;0;1;12;4;0;19;33;31;2;0;0;52;0;3;0;0;49;0
2A1420000;94;2A;2A000;2A142;ZZZZZZ;2A14200;Z;5;281;231;50;108;27;32;49;13;37;13;51;107;56;33;27;142;29;1;2;3;40;18;1;156;80;78;1;1;0;236;9;54;0;0;172;1
2A1440000;94;2A;2A000;2A144;ZZZZZZ;2A14400;Z;5;39;34;5;20;1;9;10;3;6;3;7;15;5;2;2;26;1;0;0;0;9;0;0;13;23;22;1;0;0;36;2;0;0;0;34;0
2A1460000;94;2A;2A000;2A146;ZZZZZZ;2A14600;Z;5;14;11;3;4;0;0;4;0;0;0;5;7;2;2;2;11;2;0;0;0;1;0;0;1;13;12;0;1;0;14;0;1;0;0;12;1
2A1540000;94;2A;2A000;2A154;ZZZZZZ;2A15400;Z;5;35;31;4;15;1;8;5;0;3;4;9;16;3;4;4;27;1;0;2;0;2;2;0;18;17;15;0;2;0;34;10;1;0;0;23;0
2A1580000;94;2A;2A000;2A158;ZZZZZZ;2A15800;Z;5;6;5;1;5;0;3;2;0;1;1;0;3;1;0;0;3;0;0;1;0;0;1;0;3;2;2;0;0;0;5;0;0;0;0;5;0
2A1600000;94;2A;2A000;2A160;ZZZZZZ;2A16000;Z;5;98;83;15;38;10;9;19;3;15;8;30;25;16;13;9;51;7;0;0;3;16;6;1;29;55;55;0;0;0;84;5;7;1;2;66;3
2A1630000;94;2A;2A000;2A163;ZZZZZZ;2A16300;Z;5;217;190;27;80;19;29;32;8;27;19;40;90;31;25;18;122;20;0;1;7;39;8;0;52;146;141;5;0;0;198;5;5;0;1;187;0
2A1740000;94;2A;2A000;2A174;ZZZZZZ;2A17400;Z;5;38;36;2;14;1;6;7;1;6;4;10;9;7;3;2;26;1;0;1;0;10;1;0;6;33;33;0;0;0;39;1;0;0;0;38;0
2A1810000;94;2A;2A000;2A181;ZZZZZZ;2A18100;Z;5;274;237;38;100;14;38;48;7;25;13;72;101;56;39;28;180;19;0;3;2;29;13;1;49;199;185;8;5;1;247;2;14;1;4;223;3
2A1860000;94;2A;2A000;2A186;ZZZZZZ;2A18600;Z;5;85;82;3;37;7;17;13;7;11;1;13;38;15;18;15;59;2;0;1;0;18;4;1;36;49;48;0;0;1;85;3;6;1;0;74;1
2A1890000;94;2A;2A000;2A189;ZZZZZZ;2A18900;Z;5;513;438;75;201;28;81;92;13;91;43;99;161;99;66;47;266;32;1;4;4;71;81;1;202;258;246;4;8;0;460;57;23;2;9;369;0
2A1910000;94;2A;2A000;2A191;ZZZZZZ;2A19100;Z;5;65;53;12;16;4;3;9;1;4;4;15;21;20;8;8;39;3;0;2;0;9;2;0;16;39;38;0;0;1;55;5;2;0;0;47;1
2A1960000;94;2A;2A000;2A196;ZZZZZZ;2A19600;Z;5;22;20;2;8;0;6;2;1;4;1;3;8;5;4;4;12;2;0;1;0;2;3;0;9;11;9;0;2;0;20;1;2;0;0;17;0
2A1970000;94;2A;2A000;2A197;ZZZZZZ;2A19700;Z;5;44;35;9;10;0;5;5;5;14;0;5;12;9;7;4;12;4;0;0;0;15;9;0;29;10;10;0;0;0;39;4;16;0;0;20;0
2A1980000;94;2A;2A000;2A198;ZZZZZZ;2A19800;Z;5;273;203;71;64;12;14;38;6;66;8;42;86;63;26;13;109;13;0;1;2;30;56;1;182;30;27;1;2;0;211;29;37;0;8;136;0
2A2000000;94;2A;2A000;2A200;ZZZZZZ;2A20000;Z;5;50;45;5;33;6;9;18;0;12;1;8;13;17;12;9;26;4;0;2;2;3;11;0;20;28;28;0;0;0;47;1;7;0;0;39;1
2A2030000;94;2A;2A000;2A203;ZZZZZZ;2A20300;Z;5;24;18;6;20;0;12;8;4;3;0;6;6;5;4;3;10;1;0;0;0;7;0;0;10;8;8;0;0;0;18;1;2;0;0;15;0
2A2040000;94;2A;2A000;2A204;ZZZZZZ;2A20400;Z;5;45;42;3;19;1;5;13;1;2;1;10;16;15;5;3;33;1;1;1;0;6;1;0;11;32;32;0;0;0;43;0;0;0;0;43;0
2A2090000;94;2A;2A000;2A209;ZZZZZZ;2A20900;Z;5;1002;904;98;256;79;80;97;5;87;117;274;309;204;80;67;694;52;2;10;17;85;50;1;130;781;761;6;13;1;911;19;5;1;19;848;19
2A2110000;94;2A;2A000;2A211;ZZZZZZ;2A21100;Z;5;224;203;21;70;23;17;30;8;24;17;66;85;22;33;24;141;9;1;0;10;32;20;0;110;103;92;3;8;0;213;13;21;0;0;177;2
2A2120000;94;2A;2A000;2A212;ZZZZZZ;2A21200;Z;5;216;179;37;71;10;26;35;9;33;8;27;79;60;17;11;115;18;1;0;1;26;24;2;131;55;52;1;2;0;186;15;27;0;4;138;2
2A2150000;94;2A;2A000;2A215;ZZZZZZ;2A21500;Z;5;369;327;42;166;34;54;78;16;47;37;61;126;80;40;28;230;19;0;0;12;58;16;0;135;200;190;2;8;0;335;9;27;2;14;280;3
2A2280000;94;2A;2A000;2A228;ZZZZZZ;2A22800;Z;5;645;549;96;314;93;91;130;0;98;87;193;180;82;89;62;358;46;1;2;9;82;69;2;180;389;348;6;34;1;569;43;13;1;16;476;20
2A2320000;94;2A;2A000;2A232;ZZZZZZ;2A23200;Z;5;122;106;16;40;11;17;12;6;9;6;19;52;26;10;10;75;12;0;2;0;14;5;1;31;78;76;0;2;0;109;7;1;0;2;99;0
2A2400000;94;2A;2A000;2A240;ZZZZZZ;2A24000;Z;5;52;46;7;22;2;8;12;3;2;3;16;22;6;4;4;32;4;0;2;0;4;2;0;18;28;26;1;1;0;46;3;3;0;1;37;1
2A2470101;94;2A;2A301;2A247;ZZZZZZ;2A24701;H;1;1043;914;129;326;116;33;176;12;126;87;155;412;230;103;89;615;45;0;1;22;125;134;0;852;91;65;10;16;0;942;66;182;0;0;691;3
