IRIS;REG;DEP;UU2010;COM;LIBCOM;TRIRIS;GRD_QUART;TYP_IRIS;LAB_IRIS;P17_LOG;P17_RP;P17_RSECOCC;P17_LOGVAC;P17_MAISON;P17_APPART;P17_RP_1P;P17_RP_2P;P17_RP_3P;P17_RP_4P;P17_RP_5PP;P17_RP_M30M2;P17_RP_3040M2;P17_RP_4060M2;P17_RP_6080M2;P17_RP_80100M2;P17_RP_100120M2;P17_RP_120M2P;P17_RP_ACHTOT;P17_RP_ACH19;P17_RP_ACH45;P17_RP_ACH70;P17_RP_ACH90;P17_RP_ACH05;P17_RP_ACH14;P17_RPMAISON_ACHTOT;P17_RPMAISON_ACH19;P17_RPMAISON_ACH45;P17_RPMAISON_ACH70;P17_RPMAISON_ACH90;P17_RPMAISON_ACH05;P17_RPMAISON_ACH14;P17_RPAPPART_ACHTOT;P17_RPAPPART_ACH19;P17_RPAPPART_ACH45;P17_RPAPPART_ACH70;P17_RPAPPART_ACH90;P17_RPAPPART_ACH05;P17_RPAPPART_ACH14;P17_MEN_ANEM0002;P17_MEN_ANEM0204;P17_MEN_ANEM0509;P17_MEN_ANEM10P;P17_RP_PROP;P17_RP_LOC;P17_RP_LOCHLMV;P17_RP_GRAT;P17_RP_CCCOLL;P17_RP_CCIND;P17_RP_CINDELEC;P17_RP_GARL;P17_RP_VOIT1P;C17_RP_HSTU1P;C17_RP_HSTU1P_SUROCC;P17_NPER_RP_PROP;P17_NPER_RP_LOC;P17_NPER_RP_LOCHLMV;P17_NPER_RP_GRAT;P17_RP_SDB
627730000;32;62;62113;62773;Samer;ZZZZZZ;6277300;Z;5;1852;1682;26;144;1737;103;11;53;219;398;1002;18;38;171;315;546;365;229;1630;170;142;307;411;253;348;1548;164;122;295;399;234;334;70;6;13;12;12;16;12;199;327;302;854;1077;576;276;30;44.0;730.0;492.0;1210;1483;1678;42;2846;1495;721;66;1624.0
627740000;32;62;62504;62774;Sangatte;ZZZZZZ;6277400;Z;5;2410;2009;249;153;2030;363;24;95;275;503;1111;24;51;197;402;626;342;368;1914;84;127;528;399;395;379;1664;78;120;485;362;304;315;241;6;6;42;36;89;63;214;403;325;1068;1229;758;411;22;29.0;1478.0;361.0;1496;1774;1996;25;2999;1776;1046;42;1946.0
627750000;32;62;62000;62775;Sanghen;ZZZZZZ;6277500;Z;5;125;118;5;2;124;0;0;2;11;29;76;0;2;4;12;34;31;35;114;11;15;9;31;26;22;113;11;15;9;31;25;22;0;0;0;0;0;0;0;7;17;24;70;97;19;0;2;0.0;37.0;21.0;99;111;115;5;269;54;0;6;109.0
627760000;32;62;62000;62776;Sapignies;ZZZZZZ;6277600;Z;5;86;78;0;7;83;3;1;4;7;14;52;0;1;5;9;20;20;23;73;1;31;11;8;15;7;72;1;30;11;8;15;7;1;0;1;0;0;0;0;8;20;8;42;59;18;7;1;2.0;40.0;19.0;64;71;80;0;156;38;19;2;77.0
627770000;32;62;62000;62777;Le Sars;ZZZZZZ;6277700;Z;5;81;73;0;8;80;1;0;2;15;17;38;0;2;7;16;17;15;15;73;0;52;9;4;3;5;72;0;52;8;4;3;5;1;0;0;1;0;0;0;7;9;15;41;63;7;0;3;0.0;39.0;15.0;63;61;71;0;158;15;0;7;65.0
627780000;32;62;62000;62778;Sars-le-Bois;ZZZZZZ;6277800;Z;5;38;33;3;3;38;0;0;0;6;13;14;0;0;1;6;7;11;7;32;13;6;3;3;3;3;32;13;6;3;3;3;3;0;0;0;0;0;0;0;0;9;4;19;24;6;0;2;0.0;15.0;3.0;29;32;32;0;62;12;0;8;32.0
627790000;32;62;62000;62779;Sarton;ZZZZZZ;6277900;Z;5;85;72;3;10;84;1;0;0;9;18;45;0;0;0;12;17;19;24;71;29;8;8;12;6;8;70;29;8;8;11;6;8;1;0;0;0;1;0;0;3;4;10;55;59;12;0;1;13.0;13.0;10.0;52;69;75;5;144;38;0;1;67.0
627800000;32;62;62000;62780;Sauchy-Cauchy;ZZZZZZ;6278000;Z;5;167;147;6;14;163;4;0;5;9;41;92;0;1;1;25;54;36;30;145;15;55;28;34;9;4;145;15;55;28;34;9;4;0;0;0;0;0;0;0;7;9;17;114;132;12;0;3;0.0;86.0;27.0;117;128;150;5;328;26;0;10;142.0
627810000;32;62;62000;62781;Sauchy-Lestrée;ZZZZZZ;6278100;Z;5;205;186;0;19;196;0;1;4;12;36;133;4;5;3;21;47;51;55;186;43;82;32;17;8;4;178;43;82;32;16;2;3;0;0;0;0;0;0;0;19;16;31;120;153;30;0;3;0.0;121.0;35.0;136;163;185;0;363;80;0;6;176.0
627820000;32;62;62000;62782;Saudemont;ZZZZZZ;6278200;Z;5;184;174;3;7;178;4;0;2;21;37;113;0;1;6;27;49;39;52;172;28;63;17;39;18;6;168;27;62;15;39;18;6;3;0;1;2;0;0;0;13;19;23;118;146;25;0;3;1.0;113.0;29.0;154;164;172;0;366;77;0;6;168.0
