IRIS;REG;DEP;UU2010;COM;LIBCOM;TRIRIS;GRD_QUART;TYP_IRIS;LAB_IRIS;P17_LOG;P17_RP;P17_RSECOCC;P17_LOGVAC;P17_MAISON;P17_APPART;P17_RP_1P;P17_RP_2P;P17_RP_3P;P17_RP_4P;P17_RP_5PP;P17_RP_M30M2;P17_RP_3040M2;P17_RP_4060M2;P17_RP_6080M2;P17_RP_80100M2;P17_RP_100120M2;P17_RP_120M2P;P17_RP_ACHTOT;P17_RP_ACH19;P17_RP_ACH45;P17_RP_ACH70;P17_RP_ACH90;P17_RP_ACH05;P17_RP_ACH14;P17_RPMAISON_ACHTOT;P17_RPMAISON_ACH19;P17_RPMAISON_ACH45;P17_RPMAISON_ACH70;P17_RPMAISON_ACH90;P17_RPMAISON_ACH05;P17_RPMAISON_ACH14;P17_RPAPPART_ACHTOT;P17_RPAPPART_ACH19;P17_RPAPPART_ACH45;P17_RPAPPART_ACH70;P17_RPAPPART_ACH90;P17_RPAPPART_ACH05;P17_RPAPPART_ACH14;P17_MEN_ANEM0002;P17_MEN_ANEM0204;P17_MEN_ANEM0509;P17_MEN_ANEM10P;P17_RP_PROP;P17_RP_LOC;P17_RP_LOCHLMV;P17_RP_GRAT;P17_RP_CCCOLL;P17_RP_CCIND;P17_RP_CINDELEC;P17_RP_GARL;P17_RP_VOIT1P;C17_RP_HSTU1P;C17_RP_HSTU1P_SUROCC
122520000;76;12;12000;12252;Salles-Courbatiès;ZZZZZZ;1225200;Z;5;328;195;106;28;319;7;1;7;23;60;104;2;3;12;30;53;44;50;194;88;11;14;32;27;22;189;83;11;14;32;26;22;4;4;0;0;0;0;0;19;29;36;111;154;37;5;4;1.0;86.0;49.0;167;185;200;5
122530000;76;12;12000;12253;Salles-Curan;ZZZZZZ;1225300;Z;5;1052;502;458;92;898;145;10;33;68;141;250;11;9;62;85;148;92;95;482;112;31;85;147;72;35;412;104;29;74;112;63;30;64;6;2;10;34;9;3;43;65;51;343;404;79;19;19;15.0;227.0;123.0;379;448;485;0
122540000;76;12;12000;12254;Salles-la-Source;ZZZZZZ;1225400;Z;5;1172;885;230;57;1133;32;3;28;67;189;599;4;11;27;87;174;230;352;833;218;35;52;222;210;94;802;213;33;47;219;197;92;27;4;2;5;1;14;1;63;99;129;594;786;84;10;15;6.0;471.0;210.0;764;855;885;5
122550000;76;12;12000;12255;Salmiech;ZZZZZZ;1225500;Z;5;477;363;68;46;435;40;31;19;45;108;160;4;30;17;54;120;70;67;362;90;42;55;72;71;32;323;88;41;54;69;40;30;37;1;0;1;3;30;2;40;63;49;211;283;74;3;6;4.0;170.0;122.0;254;313;332;10
122560000;76;12;12000;12256;Salvagnac-Cajarc;ZZZZZZ;1225600;Z;5;324;197;99;29;316;6;4;11;43;61;77;2;2;12;39;48;54;40;188;79;6;9;42;30;22;183;78;6;8;40;29;22;5;1;0;1;2;1;0;20;30;29;118;147;37;0;13;0.0;64.0;48.0;108;192;188;0
122570000;76;12;12000;12257;Causse-et-Diège;ZZZZZZ;1225700;Z;5;513;340;123;51;495;10;3;19;56;90;173;3;2;19;48;88;91;90;326;133;15;26;57;53;44;321;129;15;26;57;51;44;2;1;0;0;0;1;0;23;54;58;205;285;50;0;5;0.0;155.0;68.0;274;323;341;5
122580000;76;12;12000;12258;La Salvetat-Peyralès;ZZZZZZ;1225800;Z;5;748;460;191;97;706;38;4;34;73;109;241;3;6;41;73;133;102;103;452;186;44;56;97;53;17;418;179;37;52;89;51;11;30;7;7;4;8;0;4;50;50;57;304;386;61;23;13;10.0;202.0;89.0;387;413;453;5
122590000;76;12;12000;12259;Sanvensa;ZZZZZZ;1225900;Z;5;410;294;88;28;386;17;2;15;47;86;144;4;5;12;40;90;86;57;283;93;24;20;56;40;50;268;89;22;19;56;36;46;13;4;2;1;0;4;2;27;39;41;187;237;52;0;5;2.0;144.0;62.0;252;273;295;10
122600000;76;12;12000;12260;Sauclières;ZZZZZZ;1226000;Z;5;177;86;87;4;173;4;0;8;8;25;45;1;2;7;15;22;18;21;85;34;9;3;13;18;8;81;32;8;3;12;18;8;4;2;1;0;1;0;0;13;10;15;48;67;15;4;4;4.0;44.0;12.0;59;81;85;5
122610000;76;12;12000;12261;Saujac;ZZZZZZ;1226100;Z;5;124;58;62;4;118;0;0;1;5;16;36;0;0;3;13;17;14;10;57;19;2;9;14;8;4;55;18;2;9;14;8;3;0;0;0;0;0;0;0;3;2;8;45;53;2;0;3;0.0;30.0;8.0;53;57;56;0
122620000;76;12;12000;12262;Sauveterre-de-Rouergue;ZZZZZZ;1226200;Z;5;588;355;218;15;531;55;4;21;60;99;170;3;9;34;53;88;86;82;342;103;24;54;79;48;33;298;85;23;48;75;36;31;43;19;1;5;4;11;2;35;63;55;202;277;69;15;9;9.0;146.0;125.0;204;327;352;0
122630000;76;12;12000;12263;Savignac;ZZZZZZ;1226300;Z;5;347;290;38;19;344;3;0;2;31;106;151;0;1;7;23;91;84;83;280;43;15;15;82;64;62;277;43;15;15;81;62;62;3;0;0;0;1;2;0;16;32;54;189;253;35;0;2;1.0;116.0;79.0;261;281;288;0
122640000;76;12;12402;12264;Sébazac-Concourès;ZZZZZZ;1226400;Z;5;1464;1355;48;61;1291;171;1;67;144;397;746;4;18;77;139;454;357;306;1344;75;19;116;631;292;211;1187;71;17;108;601;212;178;155;4;2;8;30;78;33;99;208;181;867;1129;214;35;12;34.0;626.0;478.0;1214;1293;1355;5
122650000;76;12;12000;12265;Sébrazac;ZZZZZZ;1226500;Z;5;303;209;76;18;291;11;0;8;29;58;113;1;3;11;39;63;41;50;208;69;10;23;51;27;27;204;66;10;22;51;27;27;3;3;0;0;0;0;0;17;27;32;133;181;22;1;6;4.0;102.0;27.0;158;198;211;0
122660000;76;12;12000;12266;Ségur;ZZZZZZ;1226600;Z;5;405;234;124;48;363;40;3;11;26;43;150;3;9;23;36;50;55;58;222;67;21;36;41;39;19;199;66;21;28;40;25;18;22;1;0;7;1;13;0;13;28;36;156;193;30;5;10;11.0;104.0;33.0;146;213;229;5
122670000;76;12;12000;12267;La Selve;ZZZZZZ;1226700;Z;5;399;277;84;38;390;8;0;6;21;64;186;1;4;11;33;74;62;92;271;66;42;39;66;37;21;263;65;41;35;65;36;21;7;0;1;4;1;1;0;6;33;32;206;253;18;0;6;4.0;178.0;33.0;214;251;270;5
122680000;76;12;12000;12268;Sénergues;ZZZZZZ;1226800;Z;5;393;202;159;32;373;14;1;9;17;58;117;1;7;21;48;55;38;33;197;70;24;13;57;23;9;190;68;24;13;56;21;7;7;2;0;0;1;2;2;8;12;16;166;172;21;1;9;5.0;77.0;35.0;133;180;198;0
