dateCreation|lieuTravail|romeCode|typeContrat|experienceExige|entreprise|salaire|dureeTravailLibelleConverti|alternance|qualificationCode|secteurActivite|code_appellation|INSEE_COM
2021-03-11T13:22:28.000Z|2A247|D1507|CDD|D|SUPER U Sainte-Lucie|Mensuel de 1632,31 Euros sur 12 mois|Temps plein||6|47|38124|2A247|
2021-03-11T09:10:50.000Z|2A247|I1203|CDD|E|ESAT LES JARDINS DU GOLFE|Mensuel de 1600,00 Euros sur 12 mois|Temps plein||6|88||2A247|
2021-03-10T10:41:29.000Z|2A247|K1201|CDI|D|ISATIS||Temps partiel||6|88|13418|2A247|
2021-03-10T08:47:45.000Z|2A247|G1602|SAI|E||Mensuel de 1750,00 Euros à 1800,00 Euros sur 12 mois|Temps plein||3|56|17577|2A247|
2021-03-09T17:53:20.000Z|2A247|D1102|CDI|E|BOULANGER PATISSIER|Mensuel de 2337,00 Euros à 2857,00 Euros sur 12 mois|Temps plein||6|10|38444|2A247|
2021-03-09T11:58:02.000Z|2A247|D1208|CDI|E|ABSOLU SPA|Mensuel de 1950,00 Euros sur 12 mois|Temps plein||6|70|14890|2A247|
2021-03-08T19:35:29.000Z|2A247|K2111|CDI|E||Mensuel de 1800,00 Euros à 2500,00 Euros sur 12 mois|Temps plein||6|85|15144|2A247|
2021-03-08T14:11:00.000Z|2A247|N4105|SAI|D|LA CASINCAISE|Mensuel de 2061,60 Euros sur 12 mois|Temps plein||3|49|13306|2A247|
2021-03-05T17:43:59.000Z|2A247|D1502|CDI|E|SPAR - Route de Bonifacio|Mensuel de 1800,00 Euros à 2000,00 Euros sur 14 mois|Temps plein||6|47|12284|2A247|
2021-03-05T17:39:39.000Z|2A247|D1502|CDI|E|SPAR - Route de Bonifacio|Mensuel de 1800,00 Euros à 2000,00 Euros sur 14 mois|Temps plein||6|47|12300|2A247|
2021-03-05T13:53:35.000Z|2A247|D1501|CDD|D|SERVICE INNOVATION GROUP FRANCE|Horaire de 10,25 Euros sur 12 mois|Temps partiel||5|73|10974|2A247|
2021-03-04T14:33:43.000Z|2A247|I1606|CDI|E|S.A.S PIETRI AUTOMOBILES|Mensuel de 2436 Euros|Temps plein||6|45|11701|2A247|
2021-03-03T15:25:17.000Z|2A247|G1702|SAI|D|HÔTEL CASADELMAR|Mensuel de 1740,66 Euros sur 12 mois|Temps plein||5|55|14869|2A247|
2021-03-02T19:46:37.000Z|2A247|B1603|CDI|E||Mensuel de 1650,00 Euros à 1750,00 Euros sur 12 mois|Temps partiel||6|32|16834|2A247|
2021-03-02T14:48:40.000Z|2A247|A1203|CDI|E|HOTEL LE ROI THEODORE|Mensuel de 1800,00 Euros à 2000,00 Euros sur 12 mois|Temps plein||3|55|16069|2A247|
2021-03-02T11:44:26.000Z|2A247|A1414|CDD|E|LES AROMATIQUES DE L'ILE DE BEAUTE|Mensuel de 1667,00 Euros|Temps plein||2|01|17504|2A247|
2021-03-02T11:13:47.000Z|2A247|G1502|SAI|D|RESIDENCE BELVEDERE DE PALOMBAGGIA|Mensuel de 1750,00 Euros à 1750,00 Euros sur 12 mois|Temps plein||1|55||2A247|
2021-03-02T11:01:38.000Z|2A247|H3203|CDI|E|SARL KYRNOS PISCINES||Temps plein||2|32|19533|2A247|
2021-03-01T15:38:41.000Z|2A247|D1407|CDI|E|||Temps plein||6|46|20291|2A247|
2021-03-01T14:10:55.000Z|2A247|G1702|CDI|D|L'HOTELLIERE DU SUD|Mensuel de 1733,00 Euros à 1733,00 Euros sur 12 mois|Temps plein||6|55|14869|2A247|
2021-03-01T10:51:55.000Z|2A247|I1607|CDI|E|LOCSAMAT|Mensuel de 1950,00 Euros sur 12 mois|Temps plein||3|46||2A247|
2021-03-01T10:30:52.000Z|2A247|M1203|CDI|E|CABINET COMPTABLE MAGLIOLO||Temps plein||6|69|15368|2A247|
2021-02-26T16:01:21.000Z|2A247|G1401|CDD|D|HÔTEL CASADELMAR|Mensuel de 1923,08 Euros sur 12 mois|Temps plein||6|55|14564|2A247|
2021-02-26T14:59:49.000Z|2A247|I1203|CDI|E||Annuel de 40000,00 Euros|Temps plein||||20217|2A247|
2021-02-26T14:48:25.000Z|2A247|F1202|CDD|D|PROCARL||Temps plein||3|43|12091|2A247|
2021-02-26T11:04:40.000Z|2A247|D1407|CDD|E||Mensuel de 1900 Euros sur 12 mois|Temps plein||6|46|20291|2A247|
2021-02-26T09:51:35.000Z|2A247|M1302|FRA|D|ELYSEE CONCEPT||Temps plein||9|70||2A247|
2021-02-25T16:28:21.000Z|2A247|M1810|CDD|D|AMFISA|Mensuel de 1980,00 Euros sur 12 mois|Temps plein||7|70|20168|2A247|
2021-02-24T16:13:37.000Z|2A247|K2601|CDI|D|POMPES FUNEBRES SANTA CATALINA||Temps plein||6|96|17895|2A247|
2021-02-24T22:09:31.000Z|2A247|F1102|CDD|S|Concepteur Vendeur||Temps plein|||||2A247|
2021-02-22T16:31:53.000Z|2A247|N4105|SAI|E|MY CORSICA|Mensuel de 2051,00 Euros|Temps plein||6|47|12001|2A247|
2021-02-19T08:49:05.000Z|2A247|K2301|CDI|D|ASSAINISSEMENT VIDANGE ENTRETIEN CURAGE|Mensuel de 1900 Euros|Temps plein||3|37||2A247|
2021-02-18T12:27:37.000Z|2A247|F1704|CDI|D|EDM CONSTRUCTION|Mensuel de 1923 Euros sur 12 mois|Temps plein||3|43|16351|2A247|
2021-02-17T11:29:17.000Z|2A247|D1402|CDD|D|DI.T.E.C ""DISTRIBUTION DE MATERIEL|Mensuel de 1700,00 Euros sur 12 mois|Temps plein||7|46||2A247|
2021-02-17T11:10:10.000Z|2A247|F1703|CDI|E|DARRAGE HAFID|Mensuel de 2308 Euros à 2564 Euros|Temps plein||2|43|16256|2A247|
2021-02-15T21:12:10.000Z|2A247|D1214|SAI|D|SARL ORDIONI 2B|Mensuel de 1554,58 Euros à 1555,00 Euros sur 12 mois|Temps plein||5|70|20615|2A247|
2021-02-15T18:56:53.000Z|2A247|G1201|CDD|E|RANCH CAMPO|Mensuel de 1600,00 Euros sur 12 mois|Temps plein||6|56|10209|2A247|
2021-02-15T16:42:02.000Z|2A247|F1704|CDD|D|RD CONSTRUCTIONS|Mensuel de 2000,00 Euros sur 12 mois|Temps plein||3|43|10879|2A247|
2021-02-11T14:48:05.000Z|2A247|F1704|CDD|D|CLIMATEC|Mensuel de 2300 Euros à 2350 Euros sur 12 mois|Temps plein||1|43|16351|2A247|
2021-02-10T11:26:30.000Z|2A247|G1703|SAI|E|HOTEL ISULELLA||Temps plein||6|55|16992|2A247|
2021-02-09T16:20:38.000Z|2A247|C1201|CDD|D||Mensuel de 1555,00 Euros sur 13 mois|Temps plein||6|66|11220|2A247|
2021-02-03T06:03:28.000Z|2A247|K2501|CDI|D|||Temps plein|||82|10598|2A247|
2021-02-02T18:01:11.000Z|2A247|F1202|CDI|E|AGOSTINI G ET CIE|Mensuel de 2000 Euros sur 12 mois|Temps plein||7|42|38738|2A247|
2021-02-02T16:41:09.000Z|2A247|N1104|SAI|E|SARL CORSIL|Mensuel de 1949,00 Euros sur 12 mois|Temps plein||6|77|17887|2A247|
2021-02-01T16:33:40.000Z|2A247|F1104|CDI|E|DELTA BOIS|Mensuel de 2078 Euros à 2600 Euros sur 12 mois|Temps plein||7|46|14020|2A247|
2021-01-26T15:12:48.000Z|2A247|K2203|CDI|D|COSTA SERENA MULTI SERVICES|Mensuel de 1923,08 Euros sur 12 mois|Temps plein||7|81|13692|2A247|
2021-01-22T15:49:45.000Z|2A247|G1803|CDD|E|TROPICANA|Mensuel de 1555,00 Euros à 1700,00 Euros sur 12 mois|Temps plein||6|56|12274|2A247|
2021-01-20T07:30:35.000Z|2A247|G1803|SAI|E|HOTEL ISULELLA|Mensuel de 2051,00 Euros|Temps plein||6|68|12274|2A247|
2021-01-20T07:20:35.000Z|2A247|G1802|SAI|E|HOTEL ISULELLA|Mensuel de 1923,00 Euros|Temps plein||6|68|18933|2A247|
2021-01-18T14:02:28.000Z|2A247|F1611|CDI|E|TIZMART DRISS||Temps plein||3|43|15029|2A247|
2021-01-18T12:19:07.000Z|2A247|C1504|CDD|E|CORSE PATRIMOINE IMMOBILIER|Mensuel de 1700 Euros à 2000 Euros sur 12 mois|Temps plein||6|68|16967|2A247|
2021-01-18T11:15:08.000Z|2A247|F1608|CDD|E|PROCARL|Mensuel de 2350 Euros sur 12 mois|Temps plein||3|43|11690|2A247|
2021-01-15T11:13:18.000Z|2A247|D1214|SAI|E|PARALLELE |Mensuel de 1948,5 Euros|Temps plein||6|47|24858|2A247|
2021-01-15T10:46:26.000Z|2A247|H3302|CDD|D|E.T.M|Mensuel de 1800 Euros sur 12 mois|Temps plein||2|46||2A247|
2021-01-14T09:34:06.000Z|2A247|D1104|CDD|E|SELECTION|Mensuel de 3200,00 Euros à 3400,00 Euros sur 12 mois|Temps plein||6|70|12592|2A247|
2021-01-05T18:23:14.000Z|2A247|I1307|CDI|E|MP PROTECTION|Mensuel de 2200,00 Euros à 2600,00 Euros sur 12 mois|Temps plein||6|43||2A247|
2020-12-14T08:35:57.000Z|2A247|M1302|FRA|D|TUKKY DEVELOPPEMENT||Temps plein||9|47|38659|2A247|
2020-12-05T06:40:51.000Z|2A247|J1202|CDD|D|Appel Medical||Temps plein|||47|17687|2A247|
2020-12-04T14:33:56.000Z|2A247|I1604|CDI|E|SARL CORSIL|Mensuel de 1923,08 Euros à 2179,49 Euros sur 12 mois|Temps plein||5|77|38194|2A247|
2020-12-04T12:17:05.000Z|2A247|I1103|CDI|E|LOCSAMAT|Mensuel de 2500 Euros à 3800 Euros sur 12 mois|Temps plein||3|46||2A247|
2020-12-04T11:45:51.000Z|2A247|I1605|CDI|E|SARL CORSIL|Mensuel de 2523,17 Euros à 2776,67 Euros sur 12 mois|Temps plein||4|77|16459|2A247|
2020-11-30T11:58:14.000Z|2A247|I1601|CDI|E|SARL CORSIL|Mensuel de 2180,00 Euros à 2700,00 Euros sur 12 mois|Temps plein||3|77|19832|2A247|
2020-11-25T14:25:27.000Z|2A247|F1603|CDI|E|PISCINES DE FRANCE||Temps plein||3|43||2A247|
2020-11-25T11:58:24.000Z|2A247|F1202|CDI|E|PISCINES DE FRANCE||Temps plein||3|43|12090|2A247|
