type_annonceur;typedebien;typedetransaction;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS;DEP
pr;a;l;9;70;;3;900;;;0;0;1;0;0;0;41.93639;8.7575;0;;;;;0;;;;;;;;;;;;;;a;n;a;2020-02;2A004;0801;2A0040801;H;2A
pr;a;l;0;58;;3;850;;;0;0;0;0;C;98;41.93512;8.75714;Oui;;;;;0;D;;;;;;;;;;Gaz;Radiateur;Individuel;a;n;a;2020-02;2A004;0801;2A0040801;H;2A
pr;a;l;2;53;;2;790;;;0;0;0;0;A;50.0;41.94156;8.75339;0;0.0;;;;0;A;2009.0;;;;;;False;;;;;;a;n;a;2020-02;2A004;0702;2A0040702;H;2A
pr;a;l;0;30;;2;700;;;0;0;0;0;0;;41.92292;8.73849;Non;;;;;0;;;;;;;;;;;;;;a;n;a;2020-02;2A004;0103;2A0040103;H;2A
pr;a;l;6;17;;1;350;;;0;0;1;0;F;403;41.92562;8.7353;0;6.0;;;;0;C;;;;;;;True;;;Électrique;Convecteur;Individuel;a;n;a;2020-02;2A004;0103;2A0040103;H;2A
pr;a;l;1;91;;5;1230;;;0;0;0;0;0;;41.92537;8.73757;0;6.0;;0.0;;0;;;1.0;0.0;;False;;False;;;Électrique;Climatisation révérsible;Individuel;a;n;a;2020-02;2A004;0103;2A0040103;H;2A
pr;a;l;0;32;;1;510;;;0;0;1;0;0;;41.92679;8.73519;0;8.0;;0.0;;0;;;1.0;0.0;;False;;False;;;Électrique;Radiateur;Individuel;a;n;a;2020-02;2A004;0103;2A0040103;H;2A
pr;a;l;5;46;;2;860;;;0;0;0;1;C;147.0;41.92539;8.73593;0;;;;True;0;A;1997.0;;1.0;;;;True;;;;;;a;n;a;2020-02;2A004;0103;2A0040103;H;2A
pr;a;l;0;46;;2;750;;;0;0;1;0;VI;;41.92279;8.73852;0;;;;;0;VI;;;;;;;False;;;;;;a;n;a;2020-02;2A004;0103;2A0040103;H;2A
pr;a;l;4;46;;2;750;;;0;0;1;0;0;0;41.92269;8.73798;0;;;;;0;;;;;;;;;;;;;;a;n;a;2020-02;2A004;0103;2A0040103;H;2A
pr;a;l;0;77;;3;700;;;0;0;0;0;D;172.0;41.98458;8.79621;0;0.0;;;;0;E;;;;;;;False;;;Électrique;Convecteur;Individuel;a;n;a;2020-02;2A001;0000;2A0010000;Z;2A
pr;a;l;1;62;;3;899;;;0;0;1;1;0;0;41.91799;8.72997;0;;;;;0;;;;;;;;;;;;;;a;n;a;2020-02;2A004;0301;2A0040301;H;2A
pr;a;l;0;62;;3;899;;;0;0;1;0;VI;;41.91829;8.73003;0;4.0;;;;0;VI;;;;;;;;;;;;;a;n;a;2020-02;2A004;0301;2A0040301;H;2A
pr;a;lt;3;31;;2;1543;;;0;1;1;0;A;50;45.75781;4.84142;0;;;;;0;;;;;;;;;;;;;;a;n;a;2020-02;69383;0105;693830105;H;69
