type_annonceur;typedebien;typedetransaction;codepostal;codeinsee;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS;DEP
pr;m;v;39380;39520;0;120;3500.0;7;146000;;;0;0;1;0;NS;;46.98903;5.55416;Non;1.0;;1.0;True;Est-Ouest;;;1.0;;;False;;;;;;;;m;n;m;2020-03;39520;0000;395200000;Z;39
pr;m;v;39330;39370;0;326;1884.0;8;276000;;;0;1;5;2;D;164;46.98629;5.80081;Oui;1.0;;6.0;True;Est-Ouest;A;;7.0;;;False;;;;;Bois;;Individuel;m;n;m;2020-03;39370;0000;393700000;Z;39
pr;a;l;39300;39097;3;73;;3;689;;;0;0;0;0;B;81;46.74602;5.92573;0;;;;;0;C;;;;;;;;;;Gaz;Radiateur;Individuel;a;n;a;2020-03;39097;0103;390970103;H;39
pr;m;v;39300;39097;0;90;;6;73000;;;0;0;0;0;0;;46.74326;5.9174;Oui;;;;;0;;;;;;;;;;;Fioul;Radiateur;;a;n;m;2020-03;39097;0103;390970103;H;39
pr;m;v;39100;39198;0;150;1734.0;6;249000;;;0;0;0;0;D;212;47.11133;5.4872;0;2.0;;;;0;E;;;;;;;;;1700.0;Fioul;;Individuel, Central;a;n;m;2020-03;39198;0104;391980104;H;39
pr;a;v;39110;39500;1;78;;4;55000;;;0;1;0;1;F;377;46.93779;5.87631;Oui;3.0;;;True;0;D;;1.0;;;False;;False;4.0;901.0;Électrique;Radiateur;Individuel;m;n;a;2020-03;39500;0000;395000000;Z;39
pr;m;v;39100;39198;0;111;635.0;6;245000;;;0;0;0;0;A;37.0;47.04593;5.53326;0;;;;;0;A;;;;;;;;;;;Pompe à chaleur, Sol;Individuel;a;n;m;2020-03;39198;0111;391980111;D;39
pr;m;v;39100;39198;0;210;;7;295000;;;0;0;0;0;0;;47.04314;5.53144;Oui;1.0;;;;0;;;;;;;;;;;Fioul;;Individuel, Central;a;n;m;2020-03;39198;0111;391980111;D;39
pr;m;v;39100;39198;0;107;1050.0;5;289000;;;0;0;0;0;C;145.9;47.07261;5.47292;Non;;;;;0;A;;;;;False;;;;;;;;m;n;m;2020-03;39198;0112;391980112;D;39
pr;m;v;39100;39198;0;115;1332.0;4;219000;;;0;0;0;0;0;;47.07445;5.48178;Oui;;;;;Sud-Est;;;;;;;;;;;;Radiateur;Individuel;a;n;m;2020-03;39198;0112;391980112;D;39
pr;m;v;39100;39198;0;138;1330.0;6;199000;;;0;0;0;0;0;;47.07553;5.47331;Oui;1.0;;;;0;;;;;;;;;;;Électrique;Climatisation révérsible;Individuel;a;n;m;2020-03;39198;0112;391980112;D;39
pr;m;v;39100;39198;0;100;2139.0;4;275000;;;0;0;0;0;B;62.0;47.06943;5.47456;0;;;;;0;A;;;;True;;;;;;Électrique;Climatisation révérsible;;a;n;m;2020-03;39198;0112;391980112;D;39
pr;m;v;39100;39198;0;120;2281.0;5;159000;;;0;0;0;0;0;;47.07284;5.48028;Oui;0.0;;;;0;;;;;;;;;;;Bois;;Individuel, Central;a;n;m;2020-03;39198;0112;391980112;D;39
pr;m;v;39100;39198;0;80;1280.0;5;149000;;;0;0;0;0;0;;47.07281;5.47488;Oui;1.0;;;;Nord Sud Est;;;;;;;;;;;Gaz;Radiateur;Individuel;a;n;m;2020-03;39198;0112;391980112;D;39
pr;m;v;39100;39198;0;260;24542.0;9;495000;;;0;0;0;0;D;165;47.07545;5.47824;0;1.0;;;;0;B;;;;True;;;;;;Bois, Électrique;Climatisation révérsible;;a;n;m;2020-03;39198;0112;391980112;D;39
pr;m;v;39100;39198;0;88;990.0;4;210000;;;0;0;0;1;A;;47.09887;5.47745;0;1.0;;;;0;;;;;;;;;;;;;;cm;o;m;2020-03;39198;0104;391980104;H;39
pr;m;v;39100;39198;0;139;750.0;5;211000;;;0;0;0;0;0;;47.09251;5.47081;Oui;1.0;;;;Sud-Est-Ouest;;;;;;;;;;;Bois;Poêle à Bois;Individuel;a;n;m;2020-03;39198;0104;391980104;H;39
pr;m;v;39100;39198;0;140;693.0;7;179000;;;0;0;0;0;0;;47.0985;5.47322;0;1.0;;;;0;;;;;;;;;;;;;;a;n;m;2020-03;39198;0104;391980104;H;39
