type_annonceur;typedebien;typedetransaction;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS;DEP;loyer_m2_median_n6;nb_log_n6;taux_rendement_n6;loyer_m2_median_n7;nb_log_n7;taux_rendement_n7;prix_m2_vente
pr;a;v;1;66;;3;185000;;;0;0;0;1;D;205.0;41.93682;8.73882;Non;6.0;;1.0;;0;B;;;;;;;True;74.0;1034.0;;;Individuel;a;n;a;2020-03;2A004;0602;2A0040602;H;2A;11.99;7.0;0.051;12.86;109.0;0.055;2803.03
pr;m;v;0;220;1800.0;6;1180000;;;0;0;3;1;NS;;41.8421;8.78446;Non;2.0;;;False;0;;;4.0;;;;;;33.0;500.0;;;;a;n;m;2020-03;2A228;0000;2A2280000;Z;2A;;;;;;;5363.64
pr;m;v;0;200;2470.0;7;682500;;;0;0;3;1;C;110.0;41.84243;8.78108;Non;;;;;Sud;B;;2.0;;;;;;;;;;Individuel;a;n;m;2020-03;2A228;0000;2A2280000;Z;2A;;;;;;;3412.5
pr;m;v;0;97;;4;580000;;;2399;0;0;0;D;161;41.8273;8.78374;Oui;;;;;0;B;;;;;;;;;;;;;a;n;m;2020-03;2A228;0000;2A2280000;Z;2A;;;;;;;5979.38
pr;a;v;0;72;;3;310000;;;0;0;0;0;VI;;41.6506;8.89957;Non;2.0;;;;0;VI;;;;;;;;;;;;;a;n;a;2020-03;2A249;0000;2A2490000;Z;2A;12.62;6.0;0.035;12.62;6.0;0.035;4305.56
pr;m;v;0;180;;7;675000;;;0;0;0;1;NS;;41.67472;8.91435;Non;;;;;0;;;;;;False;;;;;;;;m;n;m;2020-03;2A249;0000;2A2490000;Z;2A;;;;;;;3750.0
pr;a;v;0;44;;2;205000;;;0;0;0;0;VI;;41.6506;8.89957;Non;2.0;;;;Ouest;VI;;;;;;;;;;;;;a;n;a;2020-03;2A249;0000;2A2490000;Z;2A;14.54;2.0;0.037;14.54;2.0;0.037;4659.09
pr;a;v;0;76;;4;318000;;;0;0;0;0;C;125.0;41.67478;8.90363;Non;3.0;;;;Ouest;A;;;;;;;;;;;;;a;n;a;2020-03;2A249;0000;2A2490000;Z;2A;;;;;;;4184.21
pr;a;v;0;160;;5;670000;;;2795;0;0;0;0;;41.71681;8.91762;Non;;;;;0;;;;;;;;;;;;;;a;n;a;2020-03;2A189;0000;2A1890000;Z;2A;;;;;;;4187.5
pr;m;v;0;193;500.0;7;318000;;;0;0;1;0;NS;;41.71715;8.91443;Oui;3.0;;;;0;NS;;;;;;;;;;;;;a;n;m;2020-03;2A189;0000;2A1890000;Z;2A;;;;;;;1647.67
pr;m;v;0;200;1490.0;8;550000;;;0;0;1;0;C;117;42.16754;8.79435;Non;;;;;0;A;;;;;False;;;;;;;;m;n;m;2020-03;2A348;0000;2A3480000;Z;2A;;;;;;;2750.0
pr;a;v;0;80;;3;250000;;;0;0;0;1;C;;41.93727;8.75526;Oui;9.0;;;;Ouest;D;1975.0;1.0;;;;;;54.0;1560.0;;;;a;n;a;2020-03;2A004;0802;2A0040802;H;2A;12.46;2.0;0.048;12.86;109.0;0.049;3125.0
pr;a;v;0;80;;3;250000;;;1039;0;0;0;C;;41.93784;8.75453;Oui;;;;;0;D;;;;;;;;54.0;;;;;a;n;a;2020-03;2A004;0802;2A0040802;H;2A;12.46;2.0;0.048;12.86;109.0;0.049;3125.0
pr;a;v;0;70;;3;220000;;;0;0;0;0;0;;41.95199;8.805;Non;;;;;0;;;;;;;;;;;;;;ca;o;a;2020-03;2A271;0000;2A2710000;Z;2A;14.0;3.0;0.053;14.0;3.0;0.053;3142.86
pr;m;v;0;110;2200.0;4;480000;;;0;0;0;2;0;;42.00435;8.8234;Non;1.0;;;False;Sud-Est-Ouest;;2010.0;2.0;;;;;;;;Électrique;;Individuel;a;n;m;2020-03;2A271;0000;2A2710000;Z;2A;14.55;1.0;0.04;14.55;1.0;0.04;4363.64
pr;a;v;0;80;;4;250000;;;0;0;0;0;A;33;41.95238;8.80486;Non;5.0;;;;0;B;;;;;;;;;;;;;a;n;a;2020-03;2A271;0000;2A2710000;Z;2A;12.25;1.0;0.047;12.25;1.0;0.047;3125.0
pr;a;v;0;49;;2;220000;;;936;0;0;0;0;;41.91025;8.71709;Oui;;;;;0;;;;;;;;;;;;;;a;n;a;2020-03;2A004;0401;2A0040401;H;2A;17.0;5.0;0.045;16.3;128.0;0.044;4489.8
pr;a;v;0;109;;5;499000;;;0;3;2;0;VI;;41.9119;8.72304;Oui;4.0;;;;0;VI;;;;;;;False;;1564.0;;;;a;n;a;2020-03;2A004;0401;2A0040401;H;2A;;;;13.06;8.0;0.034;4577.98
pr;a;v;5;49;;2;225000;;;0;0;0;1;0;;41.91025;8.71709;Oui;7.0;;1.0;;0;;;;;;;;True;80.0;64.88;;;Collectif;a;n;a;2020-03;2A004;0401;2A0040401;H;2A;17.0;5.0;0.044;16.3;128.0;0.043;4591.84
pr;a;v;0;109;;5;490000;;;2065;0;0;0;0;;41.91167;8.72206;Oui;;;;;0;;;;;;;;;;;;;;a;n;a;2020-03;2A004;0401;2A0040401;H;2A;;;;13.06;8.0;0.035;4495.41
pr;m;v;0;143;1100.0;5;574750;;;0;0;1;1;C;114;41.92531;8.82482;Oui;;;3.0;;0;A;1956.0;2.0;1.0;;;;;;;;;Individuel;a;n;m;2020-03;2A032;0000;2A0320000;Z;2A;11.43;1.0;0.034;11.43;1.0;0.034;4019.23
pr;a;v;3;57;;2;148000;;;0;0;0;1;0;;41.919;8.73008;Oui;6.0;;;;0;;;;;;;;True;15.0;1000.0;;;Individuel;a;n;a;2020-03;2A004;0301;2A0040301;H;2A;;;;16.3;128.0;0.075;2596.49
