DEP;INSEE_COM;type_annonceur;categorie_annonceur;typedebien;typedetransaction;nb_pieces;dpeL;surface_median;prix_bien_median;prix_m2_vente_median;loyer_m2_median_n7;taux_rendement_moy;balcon_moy;eau_moy;bain_moy;nb_log_en_vente
2A;2A004;pr;a;m;v;9;C;300.0;1147000.0;3823.33;;;0.0;0.0;4.0;1
2A;2A004;pr;a;m;vp;11;D;231.0;990000.0;4285.71;;;0.0;2.0;2.0;1
2A;2A004;pr;a;m;vp;3;C;207.0;890000.0;4299.52;;;0.0;2.0;1.0;1
2A;2A004;pr;a;m;vp;5;0;289.0;1975000.0;6833.91;;;0.0;0.0;4.0;1
2A;2A004;pr;a;m;vp;5;C;210.0;1780000.0;8476.19;;;0.0;0.0;2.0;1
2A;2A004;pr;a;m;vp;5;VI;289.0;1975000.0;6833.91;;;0.0;0.0;4.0;1
2A;2A004;pr;a;m;vp;6;C;242.5;1445000.0;6022.56;;;0.0;2.5;0.5;2
2A;2A004;pr;a;m;vp;7;B;260.0;1028000.0;3953.85;;;0.0;2.0;1.0;1
2A;2A004;pr;a;m;vp;8;C;300.0;1795000.0;5983.33;;;0.0;2.0;2.33;3
2A;2A004;pr;a;m;vp;9;0;131.0;680000.0;5190.84;;;0.0;0.0;2.0;1
2A;2A004;pr;ca;a;v;1;0;28.0;129700.0;4357.14;19.91;0.049;0.0;0.0;0.0;5
2A;2A004;pr;ca;a;v;2;0;43.0;169000.0;3930.95;16.3;0.048;0.0;0.0;0.0;11
2A;2A004;pr;ca;a;v;3;0;67.0;246000.0;3774.36;12.86;0.042;0.0;0.0;0.0;10
2A;2A004;pr;ca;a;v;4;0;81.0;303700.0;3851.32;11.66;0.04;0.0;0.0;0.0;9
2A;2A004;pr;ca;an;v;1;0;30.0;140000.0;4528.52;19.91;0.053;0.0;0.0;0.0;12
2A;2A004;pr;ca;an;v;10;0;65.0;225000.0;3461.54;;;0.0;0.0;0.0;1
2A;2A004;pr;ca;an;v;2;0;48.0;203650.0;4146.34;16.3;0.046;0.0;0.0;0.0;14
2A;2A004;pr;ca;an;v;3;0;80.0;415000.0;4661.29;12.86;0.033;0.0;0.0;0.0;27
2A;2A004;pr;ca;an;v;4;0;101.0;492000.0;4275.05;11.66;0.035;0.0;0.0;0.0;28
