type_annonceur;typedebien;typedetransaction;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS;DEP;REG
pr;a;l;0;47;;3;900;;;0;0;0;0;F;444;43.52527;5.45394;Oui;;;;;0;C;;;;;;;;;;;;;a;;a;2020-04;13001;0101;130010101;H;13;93.0
pr;a;l;0;74;;2;1600;;;0;0;1;0;E;272.0;43.52566;5.45199;0;3.0;;;;0;F;1600.0;1.0;1.0;;;;;;;Gaz;;Individuel;a;n;a;2020-04;13001;0101;130010101;H;13;93.0
pr;a;l;0;44;;2;873;;;0;0;0;1;E;280.0;43.52693;5.45197;0;0.0;;;;0;B;;1.0;1.0;;True;;True;;;Électrique;Convecteur;Individuel;a;n;a;2020-04;13001;0101;130010101;H;13;93.0
pr;a;l;1;22;;1;635;;;0;0;1;0;VI;;43.52668;5.45213;0;;;;;0;A;;;;;False;;False;;;Électrique;Convecteur;;a;n;a;2020-04;13001;0101;130010101;H;13;93.0
pr;a;l;1;13;;1;395;;;0;0;0;0;VI;;43.52651;5.45411;0;;;;False;0;VI;;;;False;False;;False;;;Électrique;;Individuel;a;n;a;2020-04;13001;0101;130010101;H;13;93.0
pr;a;l;1;62;;3;1035;;;0;0;0;1;0;;43.70808;7.30222;0;;;;False;0;;;1.0;;;;;;;;;;Individuel;a;n;a;2020-04;06088;0801;060880801;H;06;93.0
pr;a;l;0;79;;4;1061;;;0;0;0;0;A;31;43.32569;5.45712;0;;;2.0;False;0;A;2015.0;;;;True;;True;;;Électrique;;Individuel;a;n;a;2020-04;13213;0602;132130602;H;13;93.0
pr;a;l;0;22;;1;550;;;0;0;0;0;C;149;43.4547;5.55142;0;;;1.0;;0;A;;1.0;1.0;;;;False;;;;;Individuel;a;n;a;2020-04;13040;0102;130400102;H;13;93.0
pr;a;l;0;110;;5;1600;;;0;0;0;1;D;;43.5193;5.37988;0;1.0;;;;Ouest;D;;1.0;1.0;;;;;;;Électrique;;Individuel;a;n;a;2020-04;13001;0908;130010908;H;13;93.0
pr;a;l;0;77;;3;891;;;0;0;0;0;VI;;43.50556;5.38801;0;2.0;;;;0;VI;;;;;;;;;;Électrique;;Individuel;a;n;a;2020-04;13001;0908;130010908;H;13;93.0
