type_annonceur;typedebien;typedetransaction;codepostal;codeinsee;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS;DEP;loyer_m2_median_n6;nb_log_n6;taux_rendement_n6;loyer_m2_median_n7;nb_log_n7;taux_rendement_n7;prix_m2_vente
pr;a;v;69004;;0;100;;5;830000;;;3429;0;0;0;0;;45.77485;4.83161;Non;;;;;0;;;;;;;;;;;;;;a;;a;2020-04;69384;0203;693840203;H;69;;;;13.56;11.0;0.02;8300.0
pr;a;v;69004;;0;80;;4;730000;;;3017;0;0;0;0;;45.77517;4.83357;Non;;;;;0;;;;;;;;;;;;;;a;;a;2020-04;69384;0203;693840203;H;69;;;;14.85;17.0;0.02;9125.0
pr;a;v;69004;;0;47;;2;350000;;;1464;0;0;0;0;;45.77485;4.83161;Non;;;;;0;;;;;;;;;;;;;;a;;a;2020-04;69384;0203;693840203;H;69;15.525;10.0;0.025;16.89;114.0;0.027;7446.81
pr;a;v;69200;;0;73;;3;120000;;;524;0;0;0;D;;45.69992;4.86831;Oui;;;;;0;D;;;;;;;;215.0;;;;;a;;a;2020-04;69259;0501;692590501;H;69;;;;12.28;71.0;0.09;1643.84
pr;m;v;69500;;0;166;;8;900000;;;3718;0;0;0;E;;45.73734;4.91222;Oui;;;;;0;F;;;;;;;;;;;;;a;;m;2020-04;69029;0103;690290103;H;69;;;;;;;5421.69
pr;mn;v;69500;;0;100;276.0;4;390000;;;0;0;0;0;0;;45.73708;4.90774;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;69029;0103;690290103;H;69;12.63;1.0;0.039;12.63;3.0;0.039;3900.0
pr;a;v;69006;;0;49;;2;330000;;;1402;0;0;0;E;237;45.77303;4.84541;Non;;;;;0;E;;;;;;;;10.0;;;;;a;;a;2020-04;69386;0104;693860104;H;69;18.18;10.0;0.032;17.98;278.0;0.032;6734.69
pr;a;v;69400;;0;41;;2;128000;;;0;0;0;0;0;;45.9846;4.73349;Non;;;;;0;;;;;;;;;;;;;;ca;;a;2020-04;69264;0302;692640302;H;69;12.95;3.0;0.05;11.075;186.0;0.043;3121.95
pr;a;v;69007;;0;107;;4;540000;;;2275;0;0;0;0;;45.75;4.84;Oui;;;;;0;;;;;;;;;;;;;;a;;a;2020-04;69387;0202;693870202;H;69;;;;12.9;47.0;0.031;5046.73
pr;m;v;69360;;0;140;;6;429000;;;0;0;0;0;0;;45.63944;4.84495;Non;;;;;0;;;;;;;;;;;;;;ca;;m;2020-04;69296;0000;692960000;Z;69;;;;;;;3064.29
pr;a;v;69001;;0;18;;1;220000;;;916;0;0;0;0;;45.77006;4.83774;Non;;;;;0;;;;;;;;;32.0;;;;;a;;a;2020-04;69381;0201;693810201;H;69;25.375;8.0;0.025;23.59;100.0;0.023;12222.22
pr;m;v;69330;;0;106;;4;408000;;;0;0;0;0;0;;45.7606;4.9937;Non;;;;;0;;;;;;;;;;;;;;ca;;m;2020-04;69282;0502;692820502;H;69;;;;15.66;1.0;0.049;3849.06
pr;m;v;69330;;0;84;;5;408000;;;0;0;0;0;0;;45.7606;4.9937;Non;;;;;0;;;;;;;;;;;;;;ca;;m;2020-04;69282;0502;692820502;H;69;;;;11.69;3.0;0.029;4857.14
pr;mn;v;69400;;0;128;563.0;6;335960;170960.0;165000.0;0;0;0;0;0;;45.98448;4.72138;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;69264;0203;692640203;H;69;;;;;;;2624.69
pr;mn;v;69400;;0;75;456.0;4;250320;105320.0;145000.0;0;0;1;0;0;;45.98448;4.72138;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;69264;0203;692640203;H;69;12.24;1.0;0.044;10.51;6.0;0.038;3337.6
pr;mn;v;69400;;0;100;456.0;5;290443;145443.0;145000.0;0;0;1;0;0;;45.98448;4.72138;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;69264;0203;692640203;H;69;;;;7.66;3.0;0.032;2904.43
pr;mn;v;69780;;0;100;660.0;4;410000;;;0;0;0;0;0;;45.67006;4.94724;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;69283;0101;692830101;H;69;;;;10.809999999999999;4.0;0.032;4100.0
pr;mn;v;69330;;0;140;3000.0;4;860000;;;0;0;2;0;0;;45.77207;5.00649;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;69282;0201;692820201;H;69;;;;15.66;1.0;0.031;6142.86
pr;mn;v;69330;;0;100;437.0;4;410000;;;0;0;0;0;0;;45.77207;5.00649;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;69282;0201;692820201;H;69;;;;15.66;1.0;0.046;4100.0
