INSEE_COM;typedebien_lite;nb_pieces;loyer_m2_median;nb_log;cle2
01384;a;3;6.49;1;01384-a-3
01384;a;5;6.05;1;01384-a-5
01385;m;3;7.62;2;01385-m-3
01386;m;3;10.7;1;01386-m-3
01387;m;4;8.89;1;01387-m-4
01388;a;2;6.73;1;01388-a-2
01388;m;4;6.1;1;01388-m-4
01389;a;1;9.63;1;01389-a-1
01389;a;2;8.21;1;01389-a-2
01389;a;4;7.33;1;01389-a-4
01389;a;5;8.44;1;01389-a-5
01389;m;4;9.085;2;01389-m-4
01389;m;5;6.94;1;01389-m-5
01390;a;3;10.719999999999999;2;01390-a-3
01390;m;1;10.9;1;01390-m-1
01390;m;4;11.96;1;01390-m-4
01392;a;4;6.73;1;01392-a-4
01393;a;2;6.8;1;01393-a-2
01396;a;2;9.63;1;01396-a-2
01396;a;3;7.46;1;01396-a-3
01397;a;2;25.0;1;01397-a-2
01397;m;6;21.75;1;01397-m-6
01397;m;8;17.49;1;01397-m-8
01398;a;2;10.0;1;01398-a-2
01398;a;4;8.22;1;01398-a-4
01398;a;5;8.16;1;01398-a-5
01399;a;2;23.785;4;01399-a-2
01399;a;3;23.47;1;01399-a-3
01399;m;6;12.0;1;01399-m-6
01401;a;2;23.58;1;01401-a-2
01401;a;3;20.62;1;01401-a-3
01402;m;3;9.3;1;01402-m-3
01405;a;4;7.96;1;01405-a-4
01405;m;5;8.93;1;01405-m-5
01407;a;3;10.67;1;01407-a-3
01408;a;2;7.3;1;01408-a-2
01408;a;3;5.32;1;01408-a-3
01412;m;3;5.78;1;01412-m-3
01412;m;7;7.78;1;01412-m-7
01412;m;9;6.82;1;01412-m-9
01416;a;2;10.305;2;01416-a-2
01416;a;3;7.39;3;01416-a-3
01416;a;4;4.8;1;01416-a-4
01418;a;4;11.34;1;01418-a-4
01418;m;3;9.81;1;01418-m-3
01418;m;5;9.03;1;01418-m-5
01419;a;1;18.06;1;01419-a-1
01419;a;2;22.94;5;01419-a-2
01419;a;3;17.63;8;01419-a-3
01419;a;4;18.494999999999997;2;01419-a-4
01419;m;3;15.85;1;01419-m-3
01419;m;4;16.18;2;01419-m-4
01419;m;6;20.56;1;01419-m-6
01419;m;7;12.35;1;01419-m-7
01420;a;1;17.65;1;01420-a-1
01420;a;2;10.86;4;01420-a-2
01420;a;3;9.225000000000001;4;01420-a-3
01420;a;4;7.53;2;01420-a-4
01420;a;5;6.08;2;01420-a-5
01420;m;3;9.61;1;01420-m-3
01422;m;3;8.045;2;01422-m-3
01423;m;4;10.21;1;01423-m-4
01424;a;2;13.3;2;01424-a-2
01426;a;2;8.91;1;01426-a-2
01427;a;1;14.04;9;01427-a-1
01427;a;2;11.13;23;01427-a-2
01427;a;3;9.504999999999999;12;01427-a-3
01427;a;4;8.415;4;01427-a-4
01427;m;3;8.47;2;01427-m-3
01427;m;4;7.1;2;01427-m-4
01427;m;5;9.93;4;01427-m-5
01429;m;6;6.5;1;01429-m-6
01431;a;2;16.29;1;01431-a-2
01431;a;3;8.68;1;01431-a-3
01436;m;6;17.05;1;01436-m-6
01442;a;4;7.23;1;01442-a-4
01443;a;1;14.43;1;01443-a-1
01443;a;2;12.86;1;01443-a-2
01443;a;3;10.865;2;01443-a-3
01443;a;4;9.219999999999999;2;01443-a-4
01443;a;5;8.43;1;01443-a-5
01444;m;3;13.71;1;01444-m-3
01446;a;3;8.43;2;01446-a-3
01446;m;4;6.22;1;01446-m-4
01447;a;2;12.5;1;01447-a-2
01447;a;3;8.79;1;01447-a-3
01447;a;4;8.25;1;01447-a-4
01447;m;6;6.38;1;01447-m-6
01449;a;4;5.8;1;01449-a-4
01450;a;2;9.83;3;01450-a-2
01450;a;3;8.16;1;01450-a-3
01451;a;1;13.335;8;01451-a-1
01451;a;2;10.075;4;01451-a-2
01451;a;3;7.465;2;01451-a-3
01451;a;4;7.705;4;01451-a-4
01451;a;5;9.95;1;01451-a-5
01451;m;4;9.945;2;01451-m-4
01451;m;5;8.19;1;01451-m-5
01451;m;7;8.0;1;01451-m-7
01452;a;4;8.07;1;01452-a-4
01452;m;4;7.3;1;01452-m-4
01457;a;1;15.0;1;01457-a-1
01457;a;2;10.37;3;01457-a-2
01457;a;3;8.58;2;01457-a-3
01457;a;4;7.11;1;01457-a-4
01457;a;5;6.07;1;01457-a-5
01457;m;3;7.12;1;01457-m-3
01457;m;6;6.07;1;01457-m-6
02003;m;5;6.44;1;02003-m-5
02011;m;4;8.43;1;02011-m-4
02028;a;2;6.16;4;02028-a-2
02028;m;2;9.6;1;02028-m-2
02028;m;4;7.89;1;02028-m-4
02046;m;3;7.66;2;02046-m-3
02059;m;4;8.5;1;02059-m-4
02070;m;5;3.52;1;02070-m-5
02083;a;3;7.88;1;02083-a-3
02085;a;4;8.29;1;02085-a-4
02086;m;4;7.0;1;02086-m-4
02088;m;3;5.7;1;02088-m-3
02089;a;3;7.31;1;02089-a-3
02094;m;3;11.44;1;02094-m-3
02095;m;2;8.0;4;02095-m-2
02095;m;3;7.46;3;02095-m-3
02095;m;5;6.0;1;02095-m-5
02099;m;7;7.69;1;02099-m-7
02103;m;2;12.0;1;02103-m-2
02103;m;3;9.48;1;02103-m-3
02103;m;4;7.38;1;02103-m-4
02103;m;6;6.25;1;02103-m-6
02106;m;5;7.34;2;02106-m-5
02111;a;1;11.67;1;02111-a-1
02111;a;2;8.33;1;02111-a-2
02114;a;3;9.21;1;02114-a-3
02114;m;2;12.61;1;02114-m-2
02114;m;5;6.67;1;02114-m-5
02119;m;5;7.18;1;02119-m-5
02128;a;3;6.42;1;02128-a-3
02133;m;4;6.24;1;02133-m-4
02135;m;6;6.11;1;02135-m-6
02143;a;2;5.8;1;02143-a-2
02154;m;4;7.56;1;02154-m-4
02163;a;1;14.875;6;02163-a-1
02163;a;2;12.91;8;02163-a-2
02163;a;3;10.74;4;02163-a-3
02163;a;4;7.43;2;02163-a-4
02163;l;4;6.89;1;02163-l-4
02163;m;5;8.33;1;02163-m-5
02165;a;1;13.5;2;02165-a-1
02166;m;3;8.33;1;02166-m-3
02168;a;1;14.344999999999999;24;02168-a-1
02168;a;2;12.55;43;02168-a-2
02168;a;3;9.235;30;02168-a-3
02168;a;4;9.145;10;02168-a-4
02168;a;5;9.01;1;02168-a-5
02168;m;3;15.59;1;02168-m-3
02168;m;4;9.77;2;02168-m-4
02168;m;5;8.4;1;02168-m-5
02173;a;1;12.355;2;02173-a-1
02173;a;2;9.12;9;02173-a-2
02173;a;3;7.525;2;02173-a-3
02173;a;4;7.395;2;02173-a-4
02173;a;5;5.05;1;02173-a-5
02173;m;3;7.53;9;02173-m-3
02173;m;4;7.085;2;02173-m-4
02174;m;3;10.2;1;02174-m-3
02180;m;6;2.58;1;02180-m-6
02184;m;3;8.08;1;02184-m-3
02184;m;4;6.35;1;02184-m-4
02186;a;2;10.8;1;02186-a-2
02186;a;3;9.35;1;02186-a-3
02186;a;5;6.38;1;02186-a-5
02186;m;2;9.65;1;02186-m-2
02186;m;4;9.62;1;02186-m-4
02187;a;1;14.83;1;02187-a-1
02187;a;2;13.44;1;02187-a-2
02191;a;3;7.55;2;02191-a-3
02203;a;2;8.54;1;02203-a-2
02209;m;3;11.8;1;02209-m-3
02215;m;3;11.0;1;02215-m-3
02237;m;2;9.36;1;02237-m-2
02238;m;2;10.98;2;02238-m-2
02238;m;3;5.23;1;02238-m-3
02239;m;3;7.36;1;02239-m-3
02242;a;2;11.11;1;02242-a-2
02242;m;4;6.91;1;02242-m-4
02243;a;2;9.09;1;02243-a-2
02243;m;4;8.0;1;02243-m-4
02243;m;5;7.805;2;02243-m-5
02245;a;1;33.33;1;02245-a-1
02245;a;2;14.18;1;02245-a-2
02245;m;4;9.27;1;02245-m-4
02255;m;6;6.29;1;02255-m-6
02260;m;4;9.03;1;02260-m-4
02267;m;2;10.55;1;02267-m-2
02268;m;5;7.43;1;02268-m-5
02273;m;7;4.19;1;02273-m-7
