type_annonceur;typedebien;typedetransaction;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS;DEP
pr;a;l;2;49;;2;495;;;0;0;0;1;D;188;45.39361;5.25189;0;2.0;;;;0;E;2004.0;;;;;;False;;;Gaz;Radiateur;Individuel;a;n;a;2020-04;38130;0000;381300000;Z;38
pr;a;l;1;78;;4;360;;;0;0;0;0;0;;45.3928;5.25756;0;0.0;;;;0;;1949.0;;;;;;False;;;Électrique;Convecteur;Individuel;a;n;a;2020-04;38130;0000;381300000;Z;38
pr;m;l;0;115;800.0;5;950;;;0;0;0;2;D;207;45.35197;5.26524;0;;;6.0;;0;E;;;;;;;;;;;;Individuel;a;n;m;2020-04;38130;0000;381300000;Z;38
pr;a;l;2;29;;1;355;;;0;1;0;1;D;158.0;45.39294;5.2514;0;3.0;;;;0;E;1999.0;;;;;;False;;;Gaz;Radiateur;Collectif;a;n;a;2020-04;38130;0000;381300000;Z;38
pr;a;l;0;74;;4;555;;;0;0;0;1;0;;45.39375;5.25667;0;3.0;;;;0;;1949.0;;;;;;False;;;Gaz;Radiateur;Individuel;a;n;a;2020-04;38130;0000;381300000;Z;38
pr;a;l;2;48;;2;1129;;;0;1;0;1;E;235.97;45.19887;5.83582;0;0.0;;;;0;C;1990.0;;;;;;False;;;Électrique;Convecteur;Individuel;a;n;a;2020-04;38150;0101;381500101;H;38
pr;a;l;8;57;;3;538;;;0;0;0;0;0;;45.17831;5.72266;0;;;;False;0;;1958.0;;;;False;;False;;;Gaz;;Collectif;a;n;a;2020-04;38185;0407;381850407;H;38
pr;a;l;0;57;;3;500;;;0;0;0;0;0;;45.17811;5.72214;Non;;;;;0;;;;;;;;;;;;;;a;;a;2020-04;38185;0407;381850407;H;38
pr;a;l;6;38;;2;579;;;0;0;0;0;D;193;45.17756;5.72399;0;;;;False;0;B;;;;;False;;True;;;Électrique;;Individuel;a;n;a;2020-04;38185;0407;381850407;H;38
pr;a;l;0;43;;2;585;;;0;0;1;0;B;57;45.4523;4.77015;0;0.0;;;;0;C;;1.0;1.0;;False;;False;;;Gaz;Radiateur;Individuel;a;n;a;2020-04;38340;0000;383400000;Z;38
pr;a;l;3;10;;4;400;;;0;1;0;1;VI;;45.1797;5.7554;0;;;;False;0;;;1.0;;;;;False;;;;;Collectif;a;n;a;2020-04;38421;0502;384210502;H;38
pr;a;l;0;14;;1;455;;;0;0;1;1;D;226;45.18152;5.76252;0;;;1.0;False;0;E;;1.0;;;;;False;;;;;Collectif;a;n;a;2020-04;38421;0502;384210502;H;38
pr;a;l;2;45;;2;660;;;0;1;0;1;C;145;45.17904;5.75641;0;;;0.0;;Nord;E;2007.0;;0.0;;;;True;;;Gaz;Radiateur;Collectif;a;n;a;2020-04;38421;0502;384210502;H;38
pr;a;l;14;27;;1;501;;;0;0;1;0;D;189;45.19764;5.7512;0;;;;False;0;E;;;;;False;;True;;;Gaz;;Collectif;a;n;a;2020-04;38516;0102;385160102;H;38
pr;a;l;1;34;;2;520;;;0;0;1;0;F;407;45.20028;5.74721;0;4.0;;;True;Sud;D;;1.0;;;;;False;;;Électrique;;Individuel;a;n;a;2020-04;38516;0102;385160102;H;38
pr;a;l;7;56;;3;731;;;0;0;1;0;D;178.0;45.16679;5.71239;0;7.0;;1.0;True;0;C;1955.0;1.0;;;;;True;;;;;;a;n;a;2020-04;38185;0311;381850311;H;38
pr;a;l;2;45;;2;567;;;0;0;1;0;NS;;45.17397;5.71512;0;2.0;;;True;0;;;1.0;;;;;False;;;Électrique;;Individuel;a;n;a;2020-04;38185;0311;381850311;H;38
