INSEE_COM;LIBCOM;DEP;REG;ARR;CV;EPCI;NATURE_EPCI;ZE2020;UU2020
88314;Morizécourt;88;44;882;8804;200068773;CC;4407;88000
88315;Mortagne;88;44;883;8802;200071066;CA;4417;88000
88316;Morville;88;44;882;8817;200068682;CC;4407;88000
88317;Moussey;88;44;883;8811;200071066;CA;4417;88000
88318;Moyemont;88;44;881;8803;200005957;CC;4407;88000
88319;Moyenmoutier;88;44;883;8811;200071066;CA;4417;88301
88320;Nayemont-les-Fosses;88;44;883;8814;200071066;CA;4417;88402
88321;Neufchâteau;88;44;882;8810;200068559;CC;4404;88204
88322;La Neuveville-devant-Lépanges;88;44;881;8802;200042000;CC;4407;88000
88324;La Neuveville-sous-Châtenois;88;44;882;8809;200068559;CC;4407;88000
88325;La Neuveville-sous-Montfort;88;44;882;8817;200068682;CC;4407;88000
88326;Neuvillers-sur-Fave;88;44;883;8814;200071066;CA;4417;88106
88327;Nomexy;88;44;881;8803;200068757;CA;4407;88109
88328;Nompatelize;88;44;883;8811;200071066;CA;4417;88402
88330;Nonville;88;44;882;8804;200068773;CC;4407;88000
88331;Nonzeville;88;44;881;8802;200042000;CC;4407;88000
88332;Norroy;88;44;882;8817;200068682;CC;4407;88000
88333;Nossoncourt;88;44;881;8811;200005957;CC;4407;88000
88334;Oëlleville;88;44;881;8809;200068369;CC;4407;88000
88335;Offroicourt;88;44;882;8817;200068682;CC;4407;88000
88336;Ollainville;88;44;882;8809;200068559;CC;4407;88000
88338;Ortoncourt;88;44;881;8803;200005957;CC;4407;88000
88340;Padoux;88;44;881;8802;200068757;CA;4407;88000
88341;Pair-et-Grandrupt;88;44;883;8814;200071066;CA;4417;88402
88342;Pallegney;88;44;881;8802;200068757;CA;4407;88000
88343;Parey-sous-Montfort;88;44;882;8817;200068682;CC;4407;88000
88344;Pargny-sous-Mureau;88;44;882;8810;200068559;CC;4404;88000
88345;La Petite-Fosse;88;44;883;8814;200071066;CA;4417;88000
88346;La Petite-Raon;88;44;883;8811;200071066;CA;4417;88301
88347;Pierrefitte;88;44;881;8804;200068369;CC;4407;88000
88348;Pierrepont-sur-l'Arentèle;88;44;881;8802;200042000;CC;4407;88000
88349;Plainfaing;88;44;883;8807;200071066;CA;4417;88402
88350;Pleuvezain;88;44;882;8809;200068559;CC;4407;88000
88351;Plombières-les-Bains;88;44;881;8816;200068377;CC;4414;88000
88352;Pompierre;88;44;882;8810;200068559;CC;4404;88000
88353;Pont-lès-Bonfays;88;44;882;8804;200068773;CC;4407;88000
88354;Pont-sur-Madon;88;44;881;8803;200068369;CC;4407;88000
88355;Portieux;88;44;881;8803;200068757;CA;4407;88000
88356;Les Poulières;88;44;883;8802;200071066;CA;4417;88000
88357;Poussay;88;44;881;8809;200068369;CC;4407;88205
88358;Pouxeux;88;44;881;8812;200068757;CA;4414;88103
88359;Prey;88;44;881;8802;200042000;CC;4407;88000
88360;Provenchères-lès-Darney;88;44;882;8804;200068773;CC;4407;88000
88361;Provenchères-et-Colroy;88;44;883;8814;200071066;CA;4417;88000
88362;Le Puid;88;44;883;8811;200071066;CA;4417;88000
88363;Punerot;88;44;882;8810;200068559;CC;4412;88000
88364;Puzieux;88;44;881;8809;200068369;CC;4407;88000
88365;Racécourt;88;44;881;8804;200068369;CC;4407;88000
88366;Rainville;88;44;882;8809;200068559;CC;4407;88000
88367;Rambervillers;88;44;881;8813;200005957;CC;4407;88202
88368;Ramecourt;88;44;881;8809;200068369;CC;4407;88000
88369;Ramonchamp;88;44;881;8815;200033868;CC;4414;88304
88370;Rancourt;88;44;881;8817;200068369;CC;4407;88000
88371;Raon-aux-Bois;88;44;881;8812;200068757;CA;4414;88000
88372;Raon-l'Étape;88;44;883;8811;200071066;CA;4417;00262
88373;Raon-sur-Plaine;88;44;883;8811;200071066;CA;4417;88000
88374;Rapey;88;44;881;8803;200068369;CC;4407;88000
88375;Raves;88;44;883;8814;200071066;CA;4417;88106
88376;Rebeuville;88;44;882;8810;200068559;CC;4404;88000
88377;Regnévelle;88;44;882;8804;200068773;CC;4407;88000
88378;Regney;88;44;881;8803;200068369;CC;4407;88000
88379;Rehaincourt;88;44;881;8803;200068757;CA;4407;88000
88380;Rehaupal;88;44;883;8802;200096642;CC;4414;88000
88381;Relanges;88;44;882;8804;200068773;CC;4407;88000
88382;Remicourt;88;44;881;8809;200068369;CC;4407;88000
88383;Remiremont;88;44;881;8812;200068377;CC;4414;88401
88385;Remoncourt;88;44;882;8817;200068682;CC;4407;88000
88386;Remomeix;88;44;883;8814;200071066;CA;4417;88402
88387;Removille;88;44;882;8809;200068559;CC;4407;88000
88388;Renauvoid;88;44;881;8805;200068757;CA;4407;88000
